onset	duration	decisionPhaseOnset	buttonPressTime	resultOnset	isTaskDeception	trial	payout_A_own	payout_A_other	payout_B_own	payout_B_other	choice	isChoiceSelfish	isCatchTrial
10.0949997902	14.0990002155	12.132999897	21.7029998302	24.1940000057	0	1	25	28	5	30	1	1	0
27.5009999275	11.6470000744	29.5299999714	35.1499998569	39.1480000019	0	2	8	5	5	20	1	1	0
42.4259998798	9.756000042	44.4539999962	48.9349999428	52.1819999218	0	3	21	10	19	30	1	1	0
54.4429998398	5.4260001182	56.4709999561	56.8609998226	59.868999958	0	4	35	5	20	20	1	1	0
62.2159998417	6.1790001392	64.2449998856	64.3449997902	68.3949999809	0	5	15	11	14	10	1	1	1
72.3729999065	4.9360001088	74.4009997845	74.9210000038	77.3090000153	0	6	21	10	20	30	1	1	0
80.1079998016	5.5590000153	82.1369998455	82.9069998264	85.6669998169	0	7	5	20	30	15	2	1	0
89.0419998169	7.7109999657	91.0699999332	94	96.7529997826	0	8	28	25	30	5	2	1	0
99.1529998779	12.8589999681	101.180999994	108.570999861	112.011999846	0	9	10	19	25	16	2	1	0
114.264999866	4.12300014500001	116.29399991	116.303999901	118.388000011	0	10	12	8	11	6	1	1	1
120.632999897	5.91899991	122.661000013	123.580999851	126.551999807	0	11	11	1	10	21	2	0	0
130.040999889	5.60899996800001	132.069000006	132.758999825	135.649999857	0	12	19	35	22	5	1	0	0
139.314999819	5.72500014299999	141.342999935	141.912999868	145.039999962	0	13	25	15	15	25	1	1	0
147.286999941	4.64100003199999	149.314999819	149.484999895	151.927999973	0	14	5	11	15	10	2	1	0
154.423999786	5.014000178	156.451999903	156.791999817	159.437999964	0	15	30	5	5	30	1	1	0
162.41899991	6.23499989500002	164.446999788	164.866999865	168.653999805	0	16	15	25	22	11	2	1	0
171.011999846	5.22099995599999	173.039999962	173.059999943	176.232999802	0	17	5	16	25	15	2	1	0
179.303999901	5.73699998800001	181.332000017	181.551999807	185.040999889	0	18	30	20	10	21	1	1	0
187.133999825	4.812000036	189.161999941	189.211999893	191.945999861	0	19	15	30	25	10	2	1	0
194.931999922	5.89899992900001	196.9599998	197.349999905	200.830999851	0	20	8	5	7	10	1	1	0
204.314999819	5.47000002799999	206.342999935	206.602999926	209.784999847	0	21	30	15	10	25	1	1	0
212.277999878	6.00999999000001	214.305999994	215.155999899	218.287999868	0	22	20	9.99	15	10	1	1	0
220.635999918	6.558000088	222.664999962	224.434999943	227.194000006	0	23	25	15	30	14.99	2	1	0
229.661000013	5.97099995599999	231.688999891	232.108999968	235.631999969	0	24	20	20	5	35	1	1	0
238.415999889	6.684000016	240.444999933	242.054999828	245.099999905	0	25	5	6	8	10	2	1	1
248.500999928	14.289000034	250.529999971	259.55099988	262.789999962	0	26	14.99	30	15	25	2	1	0
266.373999834	6.86899995799996	268.40199995	270.792999983	273.242999792	0	27	10	21	30	19	2	1	0
275.586999893	5.26500010500001	277.615999937	277.645999908	280.851999998	0	28	10	10	5	15	1	1	0
284.603999853	5.023000002	286.632999897	287.072999954	289.626999855	0	29	15	30	20	5	2	1	0
292.008999825	7.41400003400003	294.037999868	295.997999907	299.422999859	0	30	15	25	16	5	2	1	0
303.139999866	11.818000079	305.169999838	312.390999794	314.957999945	0	31	19	10	16	25	1	1	0
317.167999983	5.777999878	319.197999954	319.447999954	322.945999861	0	32	5	8	10	7	2	1	0
326.357999802	5.68600010800003	328.386999846	328.676999807	332.04399991	0	33	6	5	5.99	10	1	1	0
334.553999901	7.68000006699998	336.582999945	338.342999935	342.233999968	0	34	5	22	35	19	2	1	0
345.907999992	6.28099989899999	347.936999798	349.186999798	352.188999891	0	35	20	20	10	15	1	1	1
356.092999935	5.33599996599997	358.121999979	359.092000008	361.428999901	0	36	10	25	25	10	2	1	0
364.780999899	11.99300003	366.81099987	372.950999975	376.773999929	0	37	11	22	25	15	2	1	0
379.380999804	5.35400009099999	381.409999847	381.690999985	384.734999895	0	38	15	20	10	5	1	1	1
386.790999889	4.74799990700001	388.819000006	388.859999895	391.538999796	0	39	15	5	10	10	1	1	0
394.570999861	8.27800011599999	396.600999832	400.530999899	402.848999977	0	40	5	8	20	5	2	1	0
406.513999939	4.97799992600005	408.541999817	409.171999931	411.491999865	0	41	6	11	12	8	2	1	0
415.032999992	5.71499991500002	417.06099987	418.250999928	420.747999907	0	42	11	5	10	15	1	1	0
423.196999788	5.20700001699998	425.225999832	425.896999836	428.403999805	0	43	5	6	10	5.99	2	1	0
432.213999987	5.58599996499998	434.243999958	434.8349998	437.799999952	0	44	10	15	9.99	20	1	1	0
440.500999928	5.81399989099998	442.529999971	442.599999905	446.314999819	0	45	30	15	20	10	1	1	1
449.071999788	7.50700020799997	451.100999832	453.161000013	456.578999996	0	46	1	11	21	10	2	1	0
