onset	duration	decisionPhaseOnset	buttonPressTime	resultOnset	isTaskDeception	trial	payout_A_own	payout_A_other	payout_B_own	payout_B_other	choice	isChoiceSelfish	isCatchTrial
10.0610001087	7.9489998818	12.0959999561	14.8880000114	18.0099999905	1	1	30	19	10	21	1	1	0
20.875	9.7290000916	22.9030001163	26.8430001736	30.6040000916	1	2	12	8	11	6	1	1	1
34.620000124	8.757999897	36.6480000019	41.128000021	43.378000021	1	3	20	9.99	15	10	1	1	0
45.5920000076	9.6019999981	47.620000124	52.4509999752	55.1940000057	1	4	10	19	25	16	2	1	0
58.0140001774	8.8809998035	60.0420000553	64.0820000172	66.8949999809	1	5	25	15	15	25	2	0	0
69.5529999733	8.5240001678	71.5810000896	75.7510001659	78.0770001411	1	6	15	30	20	5	1	0	0
80.8800001144	7.5019998551	82.9079999924	85.5399999619	88.3819999695	1	7	15	20	10	5	1	1	1
90.746999979	6.80800008780001	92.7760000229	94.4060001373	97.5550000668	1	8	5	16	25	15	2	1	0
101.351999998	5.77500009500001	103.381000042	104.421000004	107.127000093	1	9	9.99	20	10	15	1	0	0
110.762000084	6.940999985	112.791000128	113.661000013	117.703000069	1	10	35	5	20	20	2	0	0
121.183000088	6.331000089	123.210999966	123.751000166	127.514000177	1	11	10	15	20	20	2	1	1
129.720999956	8.174000025	131.749000072	135.259000063	137.894999981	1	12	5	30	30	5	2	1	0
140.697999954	8.656000138	142.726000071	145.325999975	149.354000092	1	13	8	5	5	20	2	0	0
151.559000015	7.740999937	153.587000132	156.578000069	159.299999952	1	14	10	5.99	5	6	1	1	0
161.529000044	7.50999999000001	163.55700016	165.337000132	169.039000034	1	15	19	10	16	25	2	0	0
173.018000126	6.633999824	175.046000004	175.857000113	179.65199995	1	16	11	5	10	15	2	0	0
182.218000174	5.63999986600001	184.246000051	185.105999947	187.85800004	1	17	12	8	6	11	1	1	0
190.019000053	6.42300009799999	192.04700017	192.77699995	196.442000151	1	18	10	21	11	1	1	0	0
199.657000065	6.437000036	201.684999943	202.335999966	206.094000101	1	19	19	30	21	10	1	0	0
208.924000025	7.40600013700001	210.952000141	213.873000145	216.330000162	1	20	10	10	15	5	2	1	0
218.937000036	12.605000019	220.96600008	228.27699995	231.542000055	1	21	25	28	5	30	1	1	0
233.853000164	6.414999962	235.881999969	237.881999969	240.268000126	1	22	7	10	8	5	1	0	0
242.844000101	7.830999851	244.871999979	248.43200016	250.674999952	1	23	10	7	5	8	1	1	0
253.608999968	5.71600007999999	255.637000084	257.256999969	259.325000048	1	24	15	25	14.99	30	2	0	0
261.897000074	6.41199994099998	263.926000118	264.376000166	268.309000015	1	25	21	10	20	30	2	0	0
270.562999964	8.51400017699996	272.59100008	276.440999985	279.077000141	1	26	5	11	15	10	2	1	0
282.345999956	7.41000008599997	284.375	285.965000153	289.756000042	1	27	20	20	5	35	1	1	0
292.025000095	5.424999953	294.054000139	294.394000053	297.450000048	1	28	16	5	15	25	2	0	0
300.404000044	10.510999918	302.433000088	308.213000059	310.914999962	1	29	10	25	30	15	2	1	0
313.478000164	6.19899988200001	315.508000135	316.157999992	319.677000046	1	30	15	11	14	10	1	1	1
323.480999947	7.35300016400004	325.511000156	327.171000004	330.834000111	1	31	5.99	10	6	5	1	0	0
333.607000113	5.66400003399997	335.636000156	336.496000051	339.271000147	1	32	35	19	5	22	1	1	0
342.407999992	5.42100000400001	344.437000036	344.787000179	347.828999996	1	33	28	25	30	5	1	0	0
351.67200017	5.86299991600004	353.700999975	355.271000147	357.535000086	1	34	22	11	15	25	2	0	0
360.720999956	7.43700003599997	362.751000166	364.542000055	368.157999992	1	35	10	21	30	20	2	1	0
370.630000114	5.79099989000002	372.660000086	374.25999999	376.421000004	1	36	5	6	8	10	2	1	1
378.927000046	4.878999948	380.95600009	381.016000032	383.805999994	1	37	19	35	22	5	1	0	0
386.657999992	5.35400009200004	388.687000036	389.377000093	392.012000084	1	38	5	20	30	15	2	1	0
394.110000134	6.46499991399997	396.138000011	397.509000063	400.575000048	1	39	5	15	10	10	2	1	0
403.233999968	8.71700000700002	405.262000084	409.712000132	411.950999975	1	40	25	10	15	30	1	1	0
414.077000141	6.45499992399999	416.105000019	417.786000013	420.532000065	1	41	10	25	25	10	2	1	0
424.483999968	7.200999975	426.512000084	427.952000141	431.684999943	1	42	20	5	5	8	1	1	0
435.414999962	7.41600012799995	437.443000078	439.802999973	442.83100009	1	43	1	11	21	10	2	1	0
446.512000084	4.68199992199999	448.539999962	448.960000038	451.194000006	1	44	20	10	30	15	2	1	1
454.111000061	5.38199996999998	456.139000177	456.690000057	459.493000031	1	45	30	14.99	25	15	1	1	0
463.194000006	7.08800005899997	465.222000122	466.662000179	470.282000065	1	46	25	15	11	22	1	1	0
