onset	duration	decisionPhaseOnset	buttonPressTime	resultOnset	isTaskDeception	trial	payout_A_own	payout_A_other	payout_B_own	payout_B_other	choice	isChoiceSelfish	isCatchTrial
10.1240000725	16.3439998627	12.1630001068	22.8740000725	26.4679999352	1	1	20	30	21	10	1	0	0
30.2739999294	26.376000166	32.3029999733	54.0650000572	56.6500000954	1	2	10	25	30	15	2	1	0
59.3350000381	20.8559999466	61.3629999161	77.5840001106	80.1909999847	1	3	11	1	10	21	1	1	0
83.2220001221	14.2309999466	85.2509999275	95.242000103	97.4530000687	1	4	20	9.99	15	10	1	1	0
100.365999937	24.667000055	102.394999981	121.365999937	125.032999992	1	5	10	10	15	5	2	1	0
127.736999989	28.735000133	129.765000105	152.936000109	156.472000122	1	6	25	16	10	19	2	0	0
158.56400013	18.460999965	160.592000008	174.03399992	177.025000095	1	7	25	10	15	30	1	1	0
180.029000044	8.40499997100002	182.058000088	185.687999964	188.434000015	1	8	20	5	15	30	2	0	0
191.426000118	9.089999914	193.453999996	197.904000044	200.516000032	1	9	10	10	5	15	2	0	0
204.453000069	12.613999843	206.482000113	214.282000065	217.066999912	1	10	11	6	12	8	1	0	1
219.710000038	10.167000055	221.737999916	226.559000015	229.877000093	1	11	21	10	1	11	1	1	0
232.873000145	29.162999868	234.901000023	258.832999945	262.036000013	1	12	5	20	8	5	2	1	0
264.467000008	7.94000005699996	266.496000051	268.45600009	272.407000065	1	13	5	6	8	10	1	0	1
275.354000092	6.00600004200004	277.384000063	278.674000025	281.360000134	1	14	25	15	15	25	1	1	0
283.710000038	7.25399994900005	285.737999916	288.898000002	290.963999987	1	15	5	35	20	20	2	1	0
293.069999933	8.05599999499998	295.098999977	298.769000053	301.125999928	1	16	15	25	22	11	1	0	0
303.871999979	8.61199998899997	305.900000095	309.871000051	312.483999968	1	17	5	11	15	10	2	1	0
314.943000078	15.03399992	316.972000122	327.562000036	329.976999998	1	18	5	30	30	5	2	1	0
332.519999981	20.097000122	334.549000025	348.630000114	352.617000103	1	19	25	15	30	14.99	1	0	0
356.417000055	18.545000077	358.446000099	371.286999941	374.962000132	1	20	5	30	25	28	2	1	0
378.815999985	13.486999988	380.845000029	390.235000134	392.302999973	1	21	15	25	16	5	1	0	0
394.970000029	10.573999881	396.999000072	401.930000067	405.54399991	1	22	10	5	15	20	2	1	1
407.805999994	6.53299999300003	409.834000111	411.513999939	414.338999987	1	23	20	5	5	8	1	1	0
417.437999964	8.82000017099995	419.467000008	423.907000065	426.258000135	1	24	5	8	10	7	2	1	0
429.286000013	5.29399991100001	431.31400013	431.503999949	434.579999924	1	25	10	25	25	10	2	1	0
437.111999989	6.58400010999998	439.141000032	440.700999975	443.696000099	1	26	6	11	12	8	1	0	0
446.410000086	11.734999895	448.437999964	454.348999977	458.144999981	1	27	5	6	10	5.99	1	0	0
461.858999968	8.29400014800001	463.887000084	467.147000074	470.153000116	1	28	7	10	8	5	2	1	0
473.262000084	6.56900000599995	475.291000128	477.480999947	479.83100009	1	29	21	10	19	30	2	0	0
483.838000059	14.401999951	485.868000031	495.568000078	498.24000001	1	30	20	20	35	5	2	1	0
501.782999992	5.77600002299999	503.812999964	504.072999954	507.559000015	1	31	30	15	5	20	1	1	0
511.045000076	13.123999834	513.07400012	521.285000086	524.16899991	1	32	5	22	35	19	2	1	0
527.829999924	6.601999998	529.858999968	531.989000082	534.431999922	1	33	14	10	15	11	2	1	1
536.77699995	9.44600009999999	538.806999922	543.26699996	546.22300005	1	34	30	20	10	21	2	0	0
549.631000042	8.59100008000007	551.660000086	556.071000099	558.222000122	1	35	19	10	16	25	2	0	0
561.566999912	11.409000159	563.597000122	568.927000046	572.976000071	1	36	5.99	10	6	5	1	0	0
576.268000126	11.3259999750001	578.298000097	585.157999992	587.594000101	1	37	10	15	11	5	2	1	0
591.174000025	15.398999929	593.203000069	602.933000088	606.572999954	1	38	10	15	20	20	2	1	1
609.479000092	18.700000047	611.509000063	625.18900013	628.179000139	1	39	14.99	30	15	25	1	0	0
632.085999966	5.33400010999992	634.11500001	634.375	637.420000076	1	40	10	21	30	19	2	1	0
641.404999971	8.10500001899993	643.436000109	646.825999975	649.50999999	1	41	20	10	30	15	2	1	1
652.242000103	12.111999989	654.272000074	661.133000135	664.354000092	1	42	25	15	11	22	1	1	0
667.842000008	5.40600013699998	669.871999979	670.982000113	673.248000145	1	43	10	15	9.99	20	2	0	0
676.842000008	16.0759999749999	678.871999979	689.732000113	692.917999983	1	44	25	15	5	16	1	1	0
695.532000065	15.0260000229999	697.559999943	707.220000029	710.558000088	1	45	22	5	19	35	2	0	0
714.520999908	17.783000231	716.549000025	729.43900013	732.304000139	1	46	30	5	28	25	1	1	0
