onset	duration	decisionPhaseOnset	buttonPressTime	resultOnset	isTaskDeception	trial	payout_A_own	payout_A_other	payout_B_own	payout_B_other	choice	isChoiceSelfish	isCatchTrial
10.0680000782	12.2739999294	12.0980000496	19.5880000591	22.3420000076	1	1	5	20	8	5	1	0	0
24.6960000992	12.5429999828	26.7239999771	34.3259999752	37.239000082	1	2	25	10	15	30	2	0	0
39.5710000992	10.8419997692	41.5999999046	46.9509999752	50.4129998684	1	3	19	30	21	10	1	0	0
52.9579999447	10.9090001583	54.986000061	61.736000061	63.867000103	1	4	15	20	10	5	1	1	1
66.9709999561	11.138999939	69	75.1099998951	78.1099998951	1	5	16	25	19	10	1	0	0
80.2679998875	10.7450001239	82.2980000973	87.0490000248	91.0130000114	1	6	10	10	5	15	1	1	0
94.1289999485	12.7690000535	96.1579999924	104.588999987	106.898000002	1	7	14	10	15	11	2	1	1
109.691999912	7.710999966	111.720999956	114.33100009	117.402999878	1	8	20	10	30	15	2	1	1
120.042000055	10.126999855	122.069999933	127.710000038	130.16899991	1	9	30	5	5	30	1	1	0
133.447999954	13.56400013	135.476999998	144.638000011	147.012000084	1	10	15	25	22	11	2	1	0
150.045000076	6.028999806	152.073999882	153.095000029	156.073999882	1	11	5	16	25	15	2	1	0
158.165999889	11.623000145	160.194000006	166.815000057	169.789000034	1	12	14.99	30	15	25	1	0	0
172.062000036	9.10099983200001	174.089999914	178.200000048	181.162999868	1	13	5	30	25	28	2	1	0
183.213999987	6.22399997700001	185.242000103	186.624000072	189.437999964	1	14	10	25	30	15	2	1	0
192.108999968	6.36299991600001	194.138000011	196.287999868	198.471999884	1	15	25	10	10	25	1	1	0
201.264999866	9.625	203.292999983	206.954999924	210.889999866	1	16	15	30	20	5	1	0	0
212.973999977	8.62700009399998	215.002000093	217.782999992	221.601000071	1	17	30	19	10	21	1	1	0
224.292999983	6.60700011200001	226.321000099	228.510999918	230.900000095	1	18	5	22	35	19	2	1	0
233.891000032	8.536999941	235.91899991	239.270999908	242.427999973	1	19	10	21	11	1	1	0	0
245.496000051	8.02399993	247.523999929	250.355000019	253.519999981	1	20	11	22	25	15	2	1	0
256.921999931	5.67900013999997	258.950999975	259.80099988	262.601000071	1	21	20	9.99	15	10	1	1	0
264.832999945	6.20600008900004	266.861999989	268.451999903	271.039000034	1	22	10	15	9.99	20	2	0	0
273.532999992	5.75600004200004	275.562000036	276.39199996	279.289000034	1	23	5	6	8	10	2	1	1
282.430999994	6.41799998300002	284.460000038	285.579999924	288.848999977	1	24	25	15	30	14.99	2	1	0
291.164999962	6.34599995599996	293.193000078	294.102999926	297.510999918	1	25	15	5	10	10	1	1	0
299.750999928	7.397000074	301.779000044	303.220000029	307.148000002	1	26	1	11	21	10	2	1	0
309.289000034	6.54299998299996	311.316999912	312.578000069	315.832000017	1	27	5	11	15	10	2	1	0
318.950000048	7.52600002299999	320.979000092	322.759000063	326.476000071	1	28	15	25	16	5	1	0	0
328.823999882	6.25999998999998	330.851999998	331.371999979	335.083999872	1	29	7	10	8	5	1	0	0
337.420000076	5.56999993400001	339.448999882	340.438999891	342.99000001	1	30	10	7	5	8	1	1	0
345.631999969	7.52399993	347.661000013	349.31099987	353.155999899	1	31	5	20	30	15	2	1	0
356.673000097	6.30299997399999	358.701999903	360.342999935	362.976000071	1	32	15	25	25	15	2	1	0
365.457000017	10.634999991	367.484999895	373.904999971	376.092000008	1	33	11	5	10	15	2	0	0
378.907000065	6.86500000900003	380.934999943	381.756000042	385.772000074	1	34	20	20	5	35	1	1	0
388.572000027	6.25600004199998	390.599999905	392.290999889	394.828000069	1	35	22	5	19	35	2	0	0
397.230000019	6.148000002	399.259000063	399.688999891	403.378000021	1	36	20	5	5	8	1	1	0
406.049999952	6.51300001200002	408.078999996	408.809000015	412.562999964	1	37	28	25	30	5	1	0	0
415.381999969	9.14199996000002	417.410000086	421.861000061	424.523999929	1	38	11	6	12	8	2	1	1
426.809999943	6.80900001500004	428.838000059	429.799000025	433.618999958	1	39	20	20	35	5	2	1	0
437.242000103	6.02699995	439.270999908	440.220999956	443.269000053	1	40	5	6	10	5.99	2	1	0
446.394999981	6.03399991999999	448.42599988	448.946000099	452.428999901	1	41	10	19	25	16	2	1	0
454.5	5.46399998700002	456.529000044	457.019000053	459.963999987	1	42	10	15	20	20	2	1	1
463.688999891	4.976999998	465.719000101	466.078999996	468.665999889	1	43	20	30	21	10	1	0	0
470.967999935	6.64000010499996	472.996000051	475.375999928	477.60800004	1	44	12	8	6	11	1	1	0
481.142999887	5.63800001200002	483.171999931	484.542999983	486.780999899	1	45	6	5	5.99	10	2	0	0
490.542000055	10.220999956	492.571000099	497.990999937	500.763000011	1	46	10	21	30	20	2	1	0
