onset	duration	decisionPhaseOnset	buttonPressTime	resultOnset	isTaskDeception	trial	payout_A_own	payout_A_other	payout_B_own	payout_B_other	choice	isChoiceSelfish	isCatchTrial
10.0850000381	6.4429998398	12.1210000515	13.2709999084	16.5279998779	0	1	30	20	10	21	1	1	0
19.2520000935	5.7139999866	21.2809998989	22.6119999886	24.9660000801	0	2	12	8	6	11	1	1	0
28.0390000343	4.9979999066	30.0669999123	30.3469998837	33.0369999409	0	3	20	9.99	15	10	1	1	0
35.9010000229	5.625	37.9300000668	38.1510000229	41.5260000229	0	4	25	16	10	19	1	1	0
45.3710000515	6.5449998379	47.3989999294	48.8090000153	51.9159998894	0	5	22	11	15	25	1	1	0
54.7520000935	5.9899997711	56.7809998989	57.0309998989	60.7419998646	0	6	35	5	20	20	1	1	0
62.9359998703	4.6440000534	64.9649999142	65.2449998856	67.5799999237	0	7	25	28	5	30	1	1	0
70.8729999065	5.50999999050001	72.9010000229	73.621999979	76.382999897	0	8	20	30	21	10	2	1	0
80.1519999504	4.5599999428	82.1809999943	82.4609999657	84.7119998932	0	9	35	19	5	22	1	1	0
87.5690000057	6.54399991039999	89.5969998837	90.739000082	94.1129999161	0	10	19	30	21	10	1	0	0
96.2089998722	6.1770000458	98.2369999886	98.5269999504	102.385999918	0	11	10	5.99	5	6	1	1	0
105.002000093	6.28199982699999	107.029999971	107.569999933	111.28399992	0	12	15	25	16	5	2	1	0
115.049000025	4.812999964	117.076999903	117.377000093	119.861999989	0	13	20	20	5	35	1	1	0
123.464999914	5.56100010899999	125.493999958	125.963999987	129.026000023	0	14	10	15	20	20	2	1	1
131.749000072	4.866999865	133.777999878	134.078000069	136.615999937	0	15	8	10	5	6	1	1	1
138.786000013	5.65700006500001	140.813999891	141.164000034	144.443000078	0	16	5	8	10	7	2	1	0
148.389999866	6.344000102	150.417999983	150.747999907	154.733999968	0	17	5	11	15	10	2	1	0
158.398999929	6.11000013399999	160.427999973	161.35800004	164.509000063	0	18	14.99	30	15	25	1	0	0
168.486000061	5.69899988200001	170.513999939	170.823999882	174.184999943	0	19	21	10	1	11	1	1	0
176.38499999	5.65499997199998	178.414000034	178.694000006	182.039999962	0	20	20	5	5	8	1	1	0
185.503000021	4.853999853	187.530999899	187.931999922	190.356999874	0	21	7	10	8	5	1	0	0
193.984999895	4.70300006900001	196.014999866	196.315000057	198.687999964	0	22	6	5	5.99	10	2	0	0
202.683000088	6.023000002	204.711999893	205.092000008	208.70600009	0	23	9.99	20	10	15	1	0	0
211.776000023	5.740999937	213.805000067	214.095000029	217.51699996	0	24	15	25	25	15	2	1	0
220.299000025	4.81500005699999	222.326999903	222.677000046	225.114000082	0	25	15	11	14	10	1	1	1
228.457999945	6.065999984	230.486999989	230.756999969	234.523999929	0	26	30	14.99	25	15	1	1	0
238.128000021	5.19599986100002	240.155999899	240.385999918	243.323999882	0	27	25	15	11	22	1	1	0
246.128000021	4.71399998700002	248.157000065	248.457000017	250.842000008	0	28	25	10	15	30	1	1	0
253.04399991	5.91300010699999	255.072999954	255.322999954	258.957000017	0	29	10	5	15	20	2	1	1
262.924999952	4.91700005600001	264.951999903	265.322999954	267.842000008	0	30	12	8	11	6	1	1	1
271.433000088	5.84299993500002	273.461999893	273.721999884	277.276000023	0	31	30	15	20	10	1	1	1
279.888000011	6.08399987300004	281.915999889	282.345999956	285.971999884	0	32	11	5	10	15	2	0	0
288.227999926	5.21500015200002	290.256000042	290.555999994	293.443000078	0	33	10	21	11	1	1	0	0
297.361000061	6.34799981099997	299.388999939	300.178999901	303.708999872	0	34	19	35	22	5	2	1	0
307.470999956	5.88300013599996	309.499000072	310.118999958	313.354000092	0	35	19	10	16	25	1	1	0
316.514999866	4.670000077	318.54399991	318.773999929	321.184999943	0	36	30	19	10	21	1	1	0
324.016000032	5.38899993899997	326.04399991	326.273999929	329.404999971	0	37	25	15	5	16	1	1	0
332.025000095	4.81999993400001	334.052999973	334.312999964	336.845000029	0	38	5	20	8	5	2	1	0
340.098999977	6.15799999199999	342.127000093	342.427000046	346.256999969	0	39	25	10	10	25	1	1	0
349.299000025	4.94000005700002	351.326999903	351.826999903	354.239000082	0	40	15	30	20	5	2	1	0
357.378999949	4.96799993500002	359.407000065	359.687000036	362.346999884	0	41	30	5	5	30	1	1	0
365.227999926	4.83200001699998	367.256000042	367.766000032	370.059999943	0	42	28	25	30	5	1	0	0
372.687999964	4.75099992699995	374.71600008	374.947000027	377.438999891	0	43	5	20	30	15	2	1	0
381.141000032	5.53799986899998	383.16899991	383.49000001	386.678999901	0	44	5	15	10	10	2	1	0
390.585000038	4.75399994900005	392.612999916	392.872999907	395.338999987	0	45	10	10	15	5	2	1	0
397.892999887	5.28400015900002	399.921000004	400.440999985	403.177000046	0	46	10	25	30	15	2	1	0
