onset	duration	decisionPhaseOnset	buttonPressTime	resultOnset	isTaskDeception	trial	payout_A_own	payout_A_other	payout_B_own	payout_B_other	choice	isChoiceSelfish	isCatchTrial
10.0570001602	13.4949998856	12.0850000381	20.5670001507	23.5520000458	1	1	20	5	15	30	1	1	0
27.4160001278	5.2999999523	29.4449999332	30.6150000095	32.7160000801	1	2	25	15	5	16	1	1	0
36.0940001011	6.3919999599	38.123000145	38.6430001259	42.486000061	1	3	20	30	21	10	1	0	0
45.7569999695	4.4379999637	47.7860000134	48.0360000134	50.1949999332	1	4	5	15	10	10	2	1	0
52.5650000572	6.0269999504	54.5950000286	54.8550000191	58.5920000076	1	5	30	14.99	25	15	1	1	0
60.7840001583	5.7449998856	62.8129999638	63.0829999447	66.5290000439	1	6	15	25	22	11	2	1	0
70.2160000801	6.010999918	72.245000124	72.4750001431	76.2269999981	1	7	8	5	7	10	2	0	0
79.253000021	5.98200011249999	81.2810001373	81.6510000229	85.2350001335	1	8	8	5	5	20	1	1	0
89.1059999466	5.69600009920001	91.1340000629	91.3840000629	94.8020000458	1	9	35	5	20	20	1	1	0
98.4010000229	4.76500010509999	100.430000067	100.700000048	103.166000128	1	10	15	10	5	11	1	1	0
107.11500001	4.528000116	109.144000053	109.404000044	111.643000126	1	11	35	19	5	22	1	1	0
115.59800005	6.06500005700001	117.627000093	117.957000017	121.663000107	1	12	30	19	10	21	1	1	0
125.371999979	4.501000166	127.401000023	127.65199995	129.873000145	1	13	10	15	9.99	20	2	0	0
132.148999929	5.77300000199997	134.177999973	134.388000011	137.921999931	1	14	25	15	15	25	1	1	0
139.980999947	6.03500008500001	142.011000156	142.141000032	146.016000032	1	15	30	15	5	20	1	1	0
148.743999958	4.720000029	150.773000002	151.032999992	153.463999987	1	16	20	9.99	15	10	1	1	0
156.105000019	5.66600012800001	158.134000063	158.36500001	161.771000147	1	17	16	25	19	10	2	1	0
165.107000113	4.39499997999999	167.136000156	167.256000042	169.502000093	1	18	30	20	10	21	1	1	0
172.832000017	5.88300013599999	174.861000061	175.141000032	178.715000153	1	19	10	19	25	16	2	1	0
181.992000103	4.69299984	184.019999981	184.311000109	186.684999943	1	20	21	10	1	11	1	1	0
190.710000038	5.59100007999999	192.738000154	193.009000063	196.301000118	1	21	30	5	5	30	1	1	0
198.838000059	6.09599995600001	200.867000103	201.296999931	204.934000015	1	22	10	25	30	15	2	1	0
208.31400013	4.58899998599998	210.342000008	210.692000151	212.903000116	1	23	11	5	10	15	2	0	0
216.768000126	6.294999838	218.796999931	219.327000141	223.062999964	1	24	11	22	25	15	2	1	0
225.154999971	6.183000088	227.183000088	227.513999939	231.338000059	1	25	28	25	30	5	1	0	0
234.469000101	5.75399994899999	236.498000145	236.84800005	240.22300005	1	26	21	10	19	30	1	1	0
242.453000069	6.254999876	244.480999947	244.772000074	248.707999945	1	27	20	20	5	35	1	1	0
252.084000111	4.937000036	254.113000154	254.453000069	257.021000147	1	28	15	25	14.99	30	2	0	0
260.551000118	6.129999876	262.578999996	262.888999939	266.680999994	1	29	25	10	10	25	1	1	0
268.809999943	4.80500006700004	270.838999987	271.069000006	273.61500001	1	30	12	8	11	6	1	1	1
276.114000082	5.03799986799999	278.14199996	278.371999979	281.15199995	1	31	16	5	15	25	2	0	0
283.729000092	5.60500001900004	285.758000135	286.907999992	289.334000111	1	32	15	5	10	10	1	1	0
291.742000103	7.182999849	293.771000147	294.930999994	298.924999952	1	33	15	30	25	10	2	1	0
301.812999964	5.54299998299996	303.842000008	303.90199995	307.355999947	1	34	30	15	20	10	1	1	1
310.929000139	4.89599990900001	312.957999945	313.19900012	315.825000048	1	35	5.99	10	6	5	1	0	0
318.486999989	5.80999994199999	320.51699996	320.647000074	324.296999931	1	36	5	6	8	10	2	1	1
327.259000063	5.58200001700004	329.288000107	329.498000145	332.84100008	1	37	15	11	14	10	1	1	1
336.84800005	5.93700003600003	338.878000021	339.278000116	342.785000086	1	38	20	5	5	8	1	1	0
346.587000132	5.70299983000001	348.618000031	348.898000002	352.289999962	1	39	15	20	10	5	1	1	1
355.546000004	5.16600012800001	357.575999975	357.845999956	360.712000132	1	40	5	6	10	5.99	2	1	0
363.31400013	5.91799998300002	365.342999935	365.643000126	369.232000113	1	41	5	30	25	28	2	1	0
371.830000162	10.671999931	373.858999968	379.049000025	382.502000093	1	42	10	7	5	8	1	1	0
385.417000055	5.93799996399997	387.447000027	388.26699996	391.355000019	1	43	22	5	19	35	1	1	0
393.920000076	5.68499994299998	395.950000048	396.25	399.605000019	1	44	20	20	10	15	1	1	1
403.294000149	5.279999971	405.322999954	405.613000154	408.57400012	1	45	12	8	6	11	1	1	0
410.825999975	4.43799996399997	412.855000019	412.934999943	415.263999939	1	46	10	21	11	1	1	0	0
