onset	duration	decisionPhaseOnset	buttonPressTime	resultOnset	isTaskDeception	trial	payout_A_own	payout_A_other	payout_B_own	payout_B_other	choice	isChoiceSelfish	isCatchTrial
10.0550000668	8.0809998512	12.0829999447	16.0439999104	18.135999918	0	1	22	11	15	25	1	1	0
20.6089999676	5.4249999523	22.6370000839	22.9370000362	26.0339999199	0	2	30	19	10	21	1	1	0
28.4749999046	6.3540000916	30.503000021	30.8629999161	34.8289999962	0	3	15	10	5	11	1	1	0
38.736000061	6.4629998207	40.763999939	42.9539999962	45.1989998817	0	4	20	20	10	15	1	1	1
47.257999897	5.3800001144	49.2860000134	49.7960000038	52.6380000114	0	5	6	5	5.99	10	2	0	0
55.4400000572	6.8020000458	57.4679999352	58.8880000114	62.242000103	0	6	10	25	25	10	2	1	0
65.7070000172	6.4049999714	67.736000061	69.5859999657	72.1119999886	0	7	15	5	10	10	1	1	0
74.8399999142	6.19200015059999	76.8680000305	77.0680000782	81.0320000648	0	8	15	25	16	5	1	0	0
84.6919999123	6.52999997139999	86.7209999561	87.9809999466	91.2219998837	0	9	15	20	10	5	1	1	1
94.0559999943	6.25999999070001	96.0850000381	96.8450000286	100.315999985	0	10	35	5	20	20	2	0	0
104.253999949	5.025000095	106.282000065	107.002000093	109.279000044	0	11	11	1	10	21	2	0	0
111.34800005	7.11199998800001	113.375999928	116.236000061	118.460000038	0	12	10	25	30	15	2	1	0
121	6.779000044	123.027999878	123.838000059	127.779000044	0	13	11	5	10	15	2	0	0
130.433000088	4.81299996300001	132.460999966	132.59100008	135.246000051	0	14	5	16	25	15	2	1	0
138.678999901	5.87100005100001	140.707000017	140.856999874	144.549999952	0	15	5	30	25	28	2	1	0
148.483999968	8.07299995399998	150.512000084	152.881999969	156.556999922	0	16	25	16	10	19	1	1	0
159.622999907	6.279000043	161.651000023	162.020999908	165.90199995	0	17	30	14.99	25	15	1	1	0
169.237999916	5.79299998299999	171.266000032	172.836999893	175.030999899	0	18	30	15	5	20	1	1	0
178.132999897	5.16500020000001	180.161000013	180.401000023	183.298000097	0	19	35	19	5	22	1	1	0
185.48300004	6.13299989699999	187.510999918	187.901000023	191.615999937	0	20	15	11	14	10	1	1	1
193.792999983	8.375	195.821000099	198.30099988	202.167999983	0	21	10	10	5	15	1	1	0
205.836999893	5.22100019499999	207.865999937	208.055999994	211.058000088	0	22	30	5	28	25	2	0	0
214.739000082	4.44899988200001	216.76699996	216.887000084	219.187999964	0	23	9.99	20	10	15	1	0	0
222.180999994	7.36700010300001	224.208999872	226.030999899	229.548000097	0	24	21	10	20	30	2	0	0
232.842999935	4.94799995400001	234.871000051	234.901000023	237.790999889	0	25	30	5	5	30	1	1	0
240.839999914	6.85400009200001	242.868999958	245.479000092	247.694000006	0	26	5	6	8	10	2	1	1
251.194999933	5.70600009	253.22300005	253.412999868	256.901000023	0	27	15	30	20	5	1	0	0
259.177000046	6.24799990600002	261.207999945	263.078000069	265.424999952	0	28	5	8	10	7	1	0	0
268.428999901	7.29600000400001	270.457999945	272.058000088	275.724999905	0	29	7	10	8	5	1	0	0
279.536000013	5.58100009000003	281.565000057	282.085000038	285.117000103	0	30	5	35	20	20	2	1	0
287.822000027	5.60999989499999	289.851000071	290.84100008	293.431999922	0	31	10	5.99	5	6	1	1	0
295.737999916	5.72900009200004	297.76699996	298.957000017	301.467000008	0	32	19	30	21	10	1	0	0
305.262000084	6.20399999599999	307.292000055	308.89199996	311.46600008	0	33	15	25	25	15	2	1	0
314.286999941	5.30700016000003	316.315999985	317.42599988	319.594000101	0	34	6	11	12	8	2	1	0
321.72300005	5.50199985500001	323.752000093	324.371999979	327.224999905	0	35	19	35	22	5	1	0	0
329.892999887	6.48400020600002	331.921999931	332.342000008	336.377000093	0	36	10	21	30	20	2	1	0
339.803999901	11.85100007	341.832999945	348.644000053	351.654999971	0	37	5	8	20	5	2	1	0
354.530999899	8.40900015800003	356.56099987	359.940999985	362.940000057	0	38	11	6	12	8	2	1	1
365.095000029	4.628999948	367.124000072	367.404000044	369.723999977	0	39	11	22	25	15	2	1	0
372.032999992	6.902999878	374.062999964	375.392999887	378.93599987	0	40	19	10	16	25	2	0	0
381.454999924	5.75900006300003	383.484999895	384.214999914	387.213999987	0	41	30	15	20	10	1	1	1
389.625999928	5.46399998599998	391.654999971	391.775000095	395.089999914	0	42	15	30	25	10	2	1	0
398.214999914	8.22099995600001	400.244999886	402.595000029	406.43599987	0	43	14.99	30	15	25	1	0	0
409.812000036	5.58899998700002	411.842000008	412.631999969	415.401000023	0	44	1	11	21	10	2	1	0
417.946000099	5.88299989699999	419.976000071	420.305999994	423.828999996	0	45	20	9.99	15	10	1	1	0
426.493000031	7.58500003799998	428.522000074	430.402999878	434.078000069	0	46	8	5	5	20	2	0	0
