onset	duration	decisionPhaseOnset	buttonPressTime	resultOnset	isTaskDeception	trial	payout_A_own	payout_A_other	payout_B_own	payout_B_other	choice	isChoiceSelfish	isCatchTrial
10.0559999943	9.9500000477	12.0850000381	16.4060001373	20.006000042	1	1	11	5	10	15	2	0	0
22.8110001087	7.6159999371	24.8400001526	26.7799999714	30.4270000458	1	2	35	19	5	22	1	1	0
33.8970000744	8.43400001520001	35.9260001183	39.135999918	42.3310000896	1	3	16	25	19	10	1	0	0
44.3600001335	5.5089998245	46.388999939	47.6589999199	49.868999958	1	4	7	10	8	5	1	0	0
52.5210001469	6.7129998207	54.5499999523	55.2999999523	59.2339999676	1	5	35	5	20	20	1	1	0
62.3930001259	6.8789999485	64.4219999313	65.6319999695	69.2720000744	1	6	5	11	15	10	2	1	0
73.128000021	7.10100007059999	75.1579999924	77.6080000401	80.2290000916	1	7	21	10	19	30	2	0	0
83.9739999771	6.54200005530001	86.0020000935	86.753000021	90.5160000324	1	8	30	15	10	25	1	1	0
92.9409999847	5.7350001336	94.9700000286	96.4200000763	98.6760001183	1	9	20	10	30	15	2	1	1
102.450000048	6.17599987999999	104.479000092	105.828999996	108.625999928	1	10	15	30	25	10	2	1	0
111.47300005	4.589999914	113.500999928	114.002000093	116.062999964	1	11	15	25	16	5	1	0	0
119.640000105	6.52699995	121.667999983	122.818000078	126.167000055	1	12	8	5	5	20	1	1	0
129.131999969	5.322999955	131.161000013	131.891000032	134.454999924	1	13	6	5	5.99	10	2	0	0
137.552000046	4.55599999400002	139.579999924	140	142.10800004	1	14	21	10	20	30	2	0	0
145.332999945	5.98300003999998	147.361000061	147.671000004	151.315999985	1	15	5	30	25	28	2	1	0
153.614000082	6.611999989	155.643000126	157.653000116	160.226000071	1	16	25	16	10	19	1	1	0
162.743999958	6.08800005900002	164.773000002	166.032999992	168.832000017	1	17	25	10	10	25	1	1	0
172.595000029	5.588999986	174.623000145	175.684000015	178.184000015	1	18	10	15	9.99	20	2	0	0
181.47300005	5.022000074	183.502000093	184.403000116	186.495000124	1	19	10	10	15	5	2	1	0
189.019000053	5.74900007299999	191.048000097	191.707999945	194.768000126	1	20	19	35	22	5	1	0	0
197.174000025	6.28800010699999	199.203000069	199.602999926	203.462000132	1	21	15	25	14.99	30	2	0	0
207.255000114	5.727999926	209.28399992	209.654000044	212.98300004	1	22	10	5	15	20	2	1	1
216.180999994	4.85400009200001	218.210000038	218.25	221.035000086	1	23	5	20	30	15	2	1	0
224.202000141	4.88899993899997	226.230999947	226.821000099	229.09100008	1	24	25	15	30	14.99	2	1	0
232.990999937	6.47100019499999	235.019999981	237.039999962	239.462000132	1	25	10	7	5	8	1	1	0
243.003999949	6.587000131	245.032999992	245.552999973	249.59100008	1	26	1	11	21	10	2	1	0
252.819000006	5.07400011999999	254.84800005	255.729000092	257.893000126	1	27	30	19	10	21	1	1	0
261.398999929	4.91100001399997	263.427999973	263.758000135	266.309999943	1	28	15	25	25	15	2	1	0
268.523000002	4.529999971	270.552000046	270.993000031	273.052999973	1	29	25	15	5	16	1	1	0
275.219000101	4.90699982699999	277.249000072	277.598999977	280.125999928	1	30	30	5	5	30	1	1	0
283.371000051	6.09299993600001	285.401000023	286.861000061	289.463999987	1	31	30	5	28	25	2	0	0
293.442000151	5.09499978999997	295.470999956	295.842000008	298.536999941	1	32	12	8	6	11	1	1	0
302.226999998	5.31200003600003	304.256999969	304.707000017	307.539000034	1	33	20	20	5	35	1	1	0
310.950000048	6.23900008200002	312.980000019	313.650000095	317.18900013	1	34	10	15	20	20	2	1	1
320.424999952	4.77700018899998	322.454999924	322.805000067	325.202000141	1	35	10	21	30	20	2	1	0
328.946000099	5.84800005	330.975000143	331.725000143	334.794000149	1	36	11	22	25	15	2	1	0
337.578999996	6.19799995400001	339.608999968	339.989000082	343.77699995	1	37	12	8	11	6	1	1	1
346.082000017	5.56699991200003	348.111999989	348.601999998	351.648999929	1	38	5	6	10	5.99	2	1	0
354.000999928	5.597000122	356.031000137	356.510999918	359.59800005	1	39	15	10	20	9.99	2	1	0
362.312000036	6.85899996800003	364.34100008	366.421000004	369.171000004	1	40	15	30	20	5	2	1	0
372.528000116	6.220000029	374.556999922	376.306999922	378.748000145	1	41	10	21	11	1	1	0	0
380.979000092	4.74399995800002	383.008000135	383.487999916	385.72300005	1	42	15	25	22	11	2	1	0
389.426000118	5.06399989200003	391.45600009	391.926000118	394.49000001	1	43	5	8	20	5	2	1	0
398.321000099	5.22199988400001	400.350000143	400.680000067	403.542999983	1	44	5	15	10	10	2	1	0
406.071000099	5.371000052	408.100000143	408.930000067	411.442000151	1	45	8	10	5	6	1	1	1
414.607000113	5.64699983599996	416.637000084	417.587000132	420.253999949	1	46	15	11	14	10	1	1	1
