onset	duration	decisionPhaseOnset	buttonPressTime	resultOnset	isTaskDeception	trial	payout_A_own	payout_A_other	payout_B_own	payout_B_other	choice	isChoiceSelfish	isCatchTrial
10.0559999943	6.1959998607	12.0850000381	13.885999918	16.251999855	0	1	16	5	15	25	2	0	0
19.4389998913	6.2990000248	21.4679999352	21.9479999542	25.7379999161	0	2	19	10	16	25	2	0	0
29.5950000286	6.7300000191	31.6239998341	33.9340000153	36.3250000477	0	3	8	5	5	20	2	0	0
38.4579999447	7.8020000458	40.4869999886	43.396999836	46.2599999905	0	4	19	35	22	5	1	0	0
49.2170000076	4.8320000172	51.2460000515	51.8059999943	54.0490000248	0	5	15	11	14	10	1	1	1
56.7449998856	5.9060001373	58.7730000019	60.2829999924	62.6510000229	0	6	10	10	5	15	1	1	0
65.501999855	6.69800019270001	67.5299999714	68.879999876	72.2000000477	0	7	25	28	5	30	1	1	0
74.7630000114	5.9769999981	76.7920000553	78.5319998264	80.7400000095	0	8	25	15	11	22	1	1	0
83.375	7.26699995990001	85.4040000439	87.0339999199	90.6419999599	0	9	20	10	30	15	2	1	1
92.7249999046	4.6860001088	94.7539999485	95.2539999485	97.4110000134	0	10	5	35	20	20	2	1	0
100.299000025	5.296999931	102.32799983	102.85800004	105.595999956	0	11	12	8	11	6	1	1	1
109.363999844	6.16700005499999	111.392999887	111.912999868	115.530999899	0	12	10	15	20	20	2	1	1
119.184000015	4.78099989900001	121.211999893	121.241999865	123.964999914	0	13	5	6	8	10	2	1	1
126.553999901	6.46600008000001	128.582000017	130.261999846	133.019999981	0	14	5	22	35	19	2	1	0
135.187000036	7.115999937	137.215999842	138.315999985	142.302999973	0	15	6	5	5.99	10	2	0	0
144.971999884	6.58299994399999	147.000999928	148.010999918	151.554999828	0	16	15	10	5	11	1	1	0
154.233999968	5.16899991	156.263000011	156.45299983	159.402999878	0	17	10	21	30	20	2	1	0
161.534999847	9.35900020600002	163.563999891	167.733999968	170.894000053	0	18	9.99	20	10	15	1	0	0
173.31099987	8.00699997000001	175.339999914	177.789999962	181.31799984	0	19	7	10	8	5	1	0	0
183.994999886	7.54600000300002	186.023999929	188.633999825	191.540999889	0	20	19	30	21	10	1	0	0
194.582000017	6.83899998699999	196.609999895	197.569999933	201.421000004	0	21	10	5.99	5	6	1	1	0
205.28399992	6.54399991	207.312999964	208.243000031	211.82799983	0	22	11	5	10	15	2	0	0
215.506000042	7.455999851	217.534999847	219.154999971	222.961999893	0	23	25	10	15	30	1	1	0
226.123999834	6.18500018100002	228.152999878	229.182999849	232.309000015	0	24	10	19	25	16	2	1	0
234.855000019	7.36699986500003	236.882999897	238.404000044	242.221999884	0	25	1	11	21	10	2	1	0
245.322999954	6.65199995099999	247.351999998	248.241999865	251.974999905	0	26	30	15	5	20	1	1	0
254.523999929	5.90899991999999	256.553999901	256.934000015	260.432999849	0	27	10	5	15	20	2	1	1
264.351999998	8.51099991799998	266.381000042	269.220999956	272.862999916	0	28	30	5	5	30	1	1	0
275.934999943	7.24000000900003	277.963999987	279.934000015	283.174999952	0	29	14.99	30	15	25	1	0	0
286.049000025	5.46399998599998	288.07799983	288.838000059	291.513000011	0	30	28	25	30	5	1	0	0
294.251999855	6.397000074	296.280999899	297.350999832	300.648999929	0	31	25	15	30	14.99	2	1	0
303.981999874	5.41200017900002	306.010999918	306.621000051	309.394000053	0	32	15	10	20	9.99	2	1	0
312.210000038	8.22599983200001	314.238999844	316.529000044	320.43599987	0	33	10	10	15	5	1	0	0
323.669999838	9.46800017299995	325.700000048	329.579999924	333.138000011	0	34	20	5	15	30	2	0	0
335.399999857	6.994000196	337.428999901	339.428999901	342.394000053	0	35	20	30	21	10	1	0	0
345.5	7.19599986100002	347.529000044	349.678999901	352.695999861	0	36	35	5	20	20	1	1	0
354.894999981	6.26300001099997	356.924000025	357.493999958	361.157999992	0	37	10	25	30	15	2	1	0
364.976999998	7.66299986799999	367.006000042	368.93599987	372.639999866	0	38	10	25	25	10	2	1	0
375.159999847	7.23500013400002	377.188999891	378.899999857	382.394999981	0	39	10	21	30	19	2	1	0
384.736999989	7.69599985999997	386.766000032	389.085999966	392.432999849	0	40	10	21	11	1	1	0	0
395.365999937	8.50999999099997	397.394999981	400.105000019	403.875999928	0	41	25	15	15	25	1	1	0
407.588000059	6.27099990899995	409.616999865	410.886999846	413.858999968	0	42	20	5	5	8	1	1	0
416.460000038	5.81299996400003	418.488999844	419.628999949	422.273000002	0	43	5	8	10	7	2	1	0
425.148999929	7.549999953	427.177999973	429.737999916	432.698999882	0	44	12	8	6	11	1	1	0
435.36500001	5.87299990599996	437.394000053	439.164000034	441.237999916	0	45	5	16	25	15	2	1	0
444.819000006	5.09099984099998	446.84800005	447.638000011	449.909999847	0	46	15	25	22	11	2	1	0
