onset	duration	decisionPhaseOnset	buttonPressTime	resultOnset	isTaskDeception	trial	payout_A_own	payout_A_other	payout_B_own	payout_B_other	choice	isChoiceSelfish	isCatchTrial
10.0689997673	15.9390001297	12.0989999771	22.0599999428	26.007999897	1	1	10	5	15	20	2	1	1
29.6949999332	18.8899998665	31.7249999046	44.6449999809	48.5849997997	1	2	11	6	12	8	2	1	1
51.1369998455	15.253000021	53.1659998894	64.2859997749	66.3899998665	1	3	6	5	5.99	10	2	0	0
70.137999773	14.9300000668	72.1679999828	82.4279999733	85.0679998398	1	4	10	21	30	20	2	1	0
88.2649998665	16.2139999865	90.2949998379	100.664999962	104.478999853	1	5	25	10	15	30	2	0	0
108.439999819	10.071000099	110.468999863	115.758999825	118.510999918	1	6	5	30	25	28	2	1	0
120.976999998	12.411999941	123.005999804	129.535999775	133.388999939	1	7	1	11	21	10	2	1	0
136.153999805	9.410000086	138.182999849	142.152999878	145.563999891	1	8	5	6	8	10	2	1	1
148.954999924	12.61800003	150.984999895	158.365999937	161.572999954	1	9	20	20	10	15	1	1	1
164.799999952	20.582000017	166.829999924	182.350999832	185.381999969	1	10	25	15	15	25	1	1	0
188.102999926	17.224999904	190.132999897	203.072999954	205.32799983	1	11	5	6	10	5.99	2	1	0
208.303999901	9.312999964	210.332999945	215.292999983	217.616999865	1	12	30	5	28	25	2	0	0
219.95299983	9.884999991	221.981999874	227.462999821	229.837999821	1	13	21	10	19	30	2	0	0
233.492999792	11.502000094	235.521999836	241.972999811	244.994999886	1	14	5	20	8	5	1	0	0
248.186999798	6.00300002100002	250.215999842	252.046000004	254.189999819	1	15	10	15	11	5	1	0	0
256.399999857	15.144000053	258.429999828	268.329999924	271.54399991	1	16	10	19	25	16	2	1	0
274.108999968	9.76099991800004	276.138999939	280.91899991	283.869999886	1	17	10	7	5	8	1	1	0
286.412999868	13.847000122	288.44299984	297.333999872	300.25999999	1	18	35	5	20	20	2	0	0
304.061999798	12.531000137	306.091999769	314.212999821	316.592999935	1	19	30	15	5	20	1	1	0
319.100999832	10.09100008	321.130999804	325.980999947	329.191999912	1	20	8	5	7	10	2	0	0
331.476999998	10.100999832	333.506999969	338.156999826	341.57799983	1	21	16	5	15	25	2	0	0
345.506999969	8.31699991300002	347.537999868	350.527999878	353.823999882	1	22	30	15	20	10	1	1	1
357.669999838	7.64100003199997	359.699999809	361.75999999	365.31099987	1	23	5	16	25	15	2	1	0
367.484999895	11.247999907	369.513999939	376.28399992	378.732999802	1	24	5	35	20	20	2	1	0
382.595999956	9.41499996199997	384.625	389.734999895	392.010999918	1	25	30	5	5	30	1	1	0
395.972999811	12.315999985	398.002999783	404.373999834	408.288999796	1	26	5	15	10	10	2	1	0
411.604999781	11.921000003	413.633999825	421.254999876	423.525999784	1	27	5	8	20	5	2	1	0
426.882999897	9.80699992199999	428.911999941	434.062999964	436.689999819	1	28	35	19	5	22	1	1	0
439.440999985	8.96899986199998	441.470999956	445.56099987	448.409999847	1	29	15	5	10	10	2	0	0
450.736999989	13.676999807	452.76699996	460.396999836	464.413999796	1	30	20	9.99	15	10	1	1	0
468.027999878	10.144999981	470.057999849	476.007999897	478.172999859	1	31	25	15	30	14.99	2	1	0
480.846999884	14.61800003	482.876999855	492.617999792	495.464999914	1	32	10	25	25	10	2	1	0
498.535999775	8.42900013899998	500.565999985	504.646999836	506.964999914	1	33	15	11	14	10	1	1	1
510.724999905	7.20700001700004	512.753999949	515.333999872	517.931999922	1	34	10	21	11	1	1	0	0
521.148000002	7.69099998499996	523.176999807	525.656999826	528.838999987	1	35	10	15	9.99	20	2	0	0
531.318999767	9.898000002	533.346999884	537.977999926	541.216999769	1	36	30	15	10	25	1	1	0
544.211999893	6.37199997900007	546.239999771	547.779999971	550.583999872	1	37	5	11	15	10	2	1	0
554.281999826	15.39199996	556.311999798	566.221999884	569.673999786	1	38	22	11	15	25	2	0	0
573.292999983	6.84399986300002	575.320999861	577.490999937	580.136999846	1	39	19	35	22	5	1	0	0
582.714999914	14.0220000749999	584.742999792	593.013999939	596.736999989	1	40	10	21	30	19	2	1	0
600.339999914	11.440999985	602.367999792	608.899999857	611.780999899	1	41	19	10	16	25	2	0	0
615.030999899	9.89599990800002	617.059999943	621.979999781	624.926999807	1	42	21	10	20	30	2	0	0
628.811999798	17.759000063	630.839999914	642.940999985	646.570999861	1	43	6	11	12	8	2	1	0
649.895999908	8.73600006100003	651.924999952	655.494999886	658.631999969	1	44	14.99	30	15	25	1	0	0
661.321999788	13.742000103	663.349999905	671.159999847	675.063999891	1	45	25	15	11	22	1	1	0
677.213999987	9.86999988500008	679.243999958	684.563999891	687.083999872	1	46	20	5	15	30	2	0	0
