onset	duration	decisionPhaseOnset	buttonPressTime	resultOnset	isTaskDeception	trial	payout_A_own	payout_A_other	payout_B_own	payout_B_other	choice	isChoiceSelfish	isCatchTrial
10.0580000877	14.3589999676	12.0870001316	20.496999979	24.4170000553	1	1	5	6	10	5.99	1	0	0
27.8900001049	7.5099999905	29.9190001488	33.3389999866	35.4000000954	1	2	10	15	9.99	20	2	0	0
39.2630000114	10.3020000458	41.2920000553	47.2829999924	49.5650000572	1	3	20	10	30	15	2	1	1
52.5370001793	8.4809999466	54.5650000572	57.995000124	61.0180001259	1	4	20	20	10	15	1	1	1
64.606000185	12.765999794	66.6349999905	74.8150000572	77.371999979	1	5	8	5	7	10	2	0	0
80.246999979	8.57300019270001	82.2750000954	85.3059999943	88.8200001717	1	6	10	21	11	1	1	0	0
92.2350001335	7.61099982260001	94.2650001049	97.0150001049	99.8459999561	1	7	10	21	30	20	1	0	0
102.509000063	9.57400011999999	104.538000107	108.898000002	112.083000183	1	8	15	20	10	5	1	1	1
115.351000071	6.605999946	117.379000187	119.739000082	121.957000017	1	9	25	28	5	30	2	0	0
125.828999996	7.98399996800001	127.85800004	131.009000063	133.812999964	1	10	5	15	10	10	2	1	0
136.897000074	10.355000019	138.926000118	144.256000042	147.252000093	1	11	20	5	15	30	2	0	0
150.549999952	7.96600007999999	152.578000069	155.179000139	158.516000032	1	12	11	5	10	15	2	0	0
161.588000059	7.23799991600001	163.617000103	166.667999983	168.825999975	1	13	15	25	25	15	1	0	0
172.781000137	5.92100000400001	174.810000181	175.779999971	178.702000141	1	14	20	20	35	5	1	0	0
182.482000113	7.53799986800001	184.511000156	186.531000137	190.019999981	1	15	16	5	15	25	2	0	0
193.152000189	5.16399979599998	195.180999994	196.051000118	198.315999985	1	16	25	10	10	25	2	0	0
200.373000145	8.98599982300001	202.402000189	205.621999979	209.358999968	1	17	20	9.99	15	10	2	0	0
213.205000162	6.05099988000001	215.23300004	216.755000114	219.256000042	1	18	15	25	22	11	1	0	0
222.446000099	7.67499995200001	224.475000143	226.215000153	230.121000051	1	19	11	22	25	15	1	0	0
233.532999992	9.379000187	235.562999964	240.833000183	242.912000179	1	20	25	15	5	16	1	1	0
246.179000139	6.63299989699999	248.208000183	250.088000059	252.812000036	1	21	14	10	15	11	2	1	1
256.607000113	5.72199988299997	258.63499999	260.20600009	262.328999996	1	22	30	15	5	20	2	0	0
265.453999996	9.14900016799999	267.48300004	272.144000053	274.603000164	1	23	10	7	5	8	2	0	0
277.38499999	5.52900004400004	279.414999962	280.195000172	282.914000034	1	24	30	5	5	30	2	0	0
285.89199996	10.272000074	287.92200017	293.402000189	296.164000034	1	25	15	25	14.99	30	2	0	0
300.107000113	7.53699993999999	302.13499999	303.79700017	307.644000053	1	26	5	20	8	5	1	0	0
311.539999962	6.78800010699996	313.569000006	315.539000034	318.328000069	1	27	5	22	35	19	1	0	0
321.328999996	14.482000113	323.35800004	332.238000154	335.811000109	1	28	25	16	10	19	2	0	0
339.677999973	5.62199997900001	341.707000017	342.027000189	345.299999952	1	29	28	25	30	5	1	0	0
348.910000086	7.68300008799997	350.93900013	352.868999958	356.593000174	1	30	10	21	30	19	1	0	0
359.590000153	5.557999849	361.618999958	362.979000092	365.148000002	1	31	30	14.99	25	15	2	0	0
368.920000076	6.26099991799998	370.94900012	372.179000139	375.180999994	1	32	6	11	12	8	1	0	0
377.43900013	4.87699985500001	379.467000008	379.996999979	382.315999985	1	33	8	10	5	6	1	1	1
385.442000151	6.92100000300002	387.470999956	388.731000185	392.363000154	1	34	19	10	16	25	2	0	0
394.879000187	9.54599976500003	396.907000065	400.657000065	404.424999952	1	35	11	6	12	8	2	1	1
408.437000036	7.17600011800005	410.467000008	411.657000065	415.613000154	1	36	20	30	21	10	1	0	0
417.697000027	6.71700000700002	419.726000071	422.226000071	424.414000034	1	37	5	8	20	5	1	0	0
427.858999968	7.51200008300003	429.888000011	433.038000107	435.371000051	1	38	20	20	5	35	2	0	0
438.886000156	7.16499996199997	440.914999962	442.745000124	446.051000118	1	39	6	5	5.99	10	2	0	0
450.037000179	6.103999853	452.065000057	452.256000042	456.141000032	1	40	25	10	15	30	2	0	0
459.002000093	4.65499997199998	461.032000065	461.282000065	463.657000065	1	41	5	11	15	10	1	0	0
466.258000135	4.40899992000004	468.286000013	468.436000109	470.667000055	1	42	1	11	21	10	1	0	0
474.562000036	10.163000107	476.59100008	481.101999998	484.725000143	1	43	19	30	21	10	1	0	0
487.59100008	8.09400010100001	489.620000124	492.320000172	495.685000181	1	44	19	35	22	5	1	0	0
498.353000164	5.03299999200004	500.381999969	501.262000084	503.386000156	1	45	10	25	30	15	1	0	0
506.536000013	7.10899996799998	508.565000057	511.11500001	513.644999981	1	46	10	10	15	5	1	0	0
