onset	duration	decisionPhaseOnset	buttonPressTime	resultOnset	isTaskDeception	trial	payout_A_own	payout_A_other	payout_B_own	payout_B_other	choice	isChoiceSelfish	isCatchTrial
10.0699999332	7.7460000515	12.0980000496	15.2790000439	17.8159999847	0	1	25	15	30	14.99	2	1	0
21.5989999771	7.742000103	23.6270000935	25.8770000935	29.3410000801	0	2	6	11	12	8	2	1	0
32.6289999485	7.0460000038	34.6570000648	35.9570000172	39.6749999523	0	3	11	1	10	21	2	0	0
43.6540000439	8.3199999332	45.6819999218	48.6919999123	51.9739999771	0	4	5	15	10	10	2	1	0
55.8169999123	8.4630000591	57.8459999561	62.1659998894	64.2799999714	0	5	10	25	25	10	2	1	0
67.5230000019	5.8429999352	69.5509998798	70.8210000992	73.3659999371	0	6	10	15	11	5	1	0	0
76.9409999847	5.2220001221	78.9690001011	79.4089999199	82.1630001068	0	7	21	10	20	30	2	0	0
85.1559998989	6.40200018879999	87.1840000153	88.6640000343	91.5580000877	0	8	25	15	5	16	1	1	0
94.3110001087	6.59999990430001	96.3389999866	98.2290000916	100.911000013	0	9	16	25	19	10	2	1	0
103.584000111	7.04999995200001	105.612999916	108.53399992	110.634000063	0	10	10	21	30	19	2	1	0
113.111999989	8.400000095	115.140000105	118.25	121.512000084	0	11	8	5	5	20	2	0	0
124.029000044	5.73699998799999	126.058000088	127.368000031	129.766000032	0	12	21	10	19	30	2	0	0
131.902999878	5.70000004799999	133.930999994	134.010999918	137.602999926	0	13	10	10	15	5	1	0	0
141.612999916	7.55500006699998	143.64199996	146.471999884	149.167999983	0	14	28	25	30	5	1	0	0
152.815999985	6.605999946	154.844000101	155.844000101	159.421999931	0	15	10	5.99	5	6	2	0	0
162.117000103	6.95999979999999	164.144999981	166.174999952	169.076999903	0	16	15	20	10	5	1	1	1
172.822999954	5.884000063	174.851000071	176.05099988	178.707000017	0	17	5	11	15	10	2	1	0
181.259000063	7.294999838	183.286999941	185.687000036	188.553999901	0	18	5	20	30	15	2	1	0
191.993999958	8.24900007300002	194.022000074	196.812999964	200.243000031	0	19	15	25	14.99	30	1	1	0
203.118000031	6.07099986	205.145999908	206.816999912	209.188999891	0	20	20	9.99	15	10	2	0	0
211.404999971	7.911999941	213.434000015	215.483999968	219.316999912	0	21	19	35	22	5	1	0	0
223.006000042	5.46000003799998	225.035000086	226.184999943	228.46600008	0	22	7	10	8	5	2	1	0
230.59800005	8.91899991	232.627000093	236.006999969	239.51699996	0	23	30	15	20	10	1	1	1
243.345000029	4.44000005699999	245.372999907	245.532999992	247.785000086	0	24	10	7	5	8	1	1	0
250.59100008	5.669999838	252.618999958	252.838999987	256.260999918	0	25	15	25	16	5	2	1	0
258.463999987	6.19400000499996	260.492000103	261.691999912	264.657999992	0	26	10	15	9.99	20	2	0	0
267.982000113	6.64199995899997	270.00999999	271.200000048	274.624000072	0	27	15	11	14	10	1	1	1
278.578999996	8.05200004599999	280.607000113	282.846999884	286.631000042	0	28	15	25	22	11	2	1	0
289.101999998	5.10599994699999	291.129999876	291.519999981	294.207999945	0	29	5	30	25	28	2	1	0
297.674999952	6.22600007099999	299.703000069	301.763999939	303.901000023	0	30	11	6	12	8	2	1	1
306.609999895	5.972000122	308.638000011	309.558000088	312.582000017	0	31	5.99	10	6	5	1	0	0
315.575999975	7.88400006299997	317.604000092	319.61500001	323.460000038	0	32	35	5	20	20	1	1	0
325.865999937	7.39000010499996	327.894000053	329.565000057	333.256000042	0	33	20	20	5	35	1	1	0
336.542000055	7.45700001699998	338.569999933	341.309999943	343.999000072	0	34	20	20	10	15	1	1	1
346.484999895	6.07000017199999	348.513000011	350.392999887	352.555000067	0	35	20	5	5	8	1	1	0
355.197000027	5.36199998799998	357.224999905	357.835000038	360.559000015	0	36	8	10	5	6	2	0	1
362.634000063	5.52600002300005	364.661999941	364.762000084	368.160000086	0	37	25	15	15	25	1	1	0
371.84100008	8.68400001499998	373.868999958	376.629999876	380.525000095	0	38	1	11	21	10	2	1	0
383.140000105	8.48499989499999	385.167999983	389.499000072	391.625	0	39	20	5	15	30	2	0	0
395.267999887	7.47400021600004	397.296000004	400.635999918	402.742000103	0	40	30	5	5	30	1	1	0
405.96600008	8.18999981899998	407.993999958	410.78399992	414.155999899	0	41	25	15	11	22	1	1	0
416.931999922	7.43300008800003	418.960000038	422.069999933	424.36500001	0	42	30	20	10	21	1	1	0
426.71600008	6.20799994499998	428.743999958	430.614000082	432.924000025	0	43	10	19	25	16	2	1	0
435.131999969	7.73500013400002	437.160000086	439.549999952	442.867000103	0	44	35	19	5	22	1	1	0
445.121000051	6.25600004199998	447.148999929	448.319000006	451.377000093	0	45	10	25	30	15	2	1	0
453.492000103	8.30999994299998	455.519999981	459.450999975	461.802000046	0	46	15	30	25	10	2	1	0
