onset	duration	decisionPhaseOnset	buttonPressTime	resultOnset	isTaskDeception	trial	payout_A_own	payout_A_other	payout_B_own	payout_B_other	choice	isChoiceSelfish	isCatchTrial
10.0700001717	6.754999876	12.0980000496	14.0180001259	16.8250000477	0	1	10	5	15	20	2	1	1
18.9040000439	6.9509999752	20.9320001602	22.1720001698	25.8550000191	0	2	20	30	21	10	1	0	0
28.1850001812	6.5059998035	30.2130000591	32.2230000496	34.6909999847	0	3	14.99	30	15	25	1	0	0
38.4060001373	6.3229999543	40.4340000153	40.743999958	44.7290000916	0	4	1	11	21	10	2	1	0
48.4279999733	6.1920001507	50.4560000896	51.8159999847	54.620000124	0	5	20	20	35	5	2	1	0
58.0810000896	5.8190000058	60.1089999676	60.6590001583	63.9000000954	0	6	35	19	5	22	1	1	0
66.7020001411	6.5549998284	68.7300000191	69.7300000191	73.2569999695	0	7	15	5	10	10	1	1	0
76.2899999619	5.6300001144	78.3180000782	79.2690000534	81.9200000763	0	8	15	10	20	9.99	2	1	0
84.5770001411	4.8450000287	86.6050000191	86.9249999523	89.4220001698	0	9	12	8	11	6	1	1	1
92.0590000153	6.54200005529999	94.0870001316	94.9869999886	98.6010000706	0	10	25	10	10	25	1	1	0
101.082000017	4.884999991	103.110000134	103.789999962	105.967000008	0	11	10	7	5	8	1	1	0
108.837000132	6.19499993300001	110.86500001	111.765000105	115.032000065	0	12	15	25	22	11	2	1	0
118.940999985	5.37900018699999	120.969000101	122.029000044	124.320000172	0	13	15	11	14	10	1	1	1
126.774000168	6.97799992499999	128.802000046	130.542000055	133.752000093	0	14	25	15	5	16	1	1	0
137.447000027	5.44499993299999	139.475000143	140.13499999	142.89199996	0	15	20	20	5	35	1	1	0
146.242000103	6.28200006499998	148.269999981	150.401000023	152.524000168	0	16	15	30	20	5	1	0	0
154.670000076	6.69000005799998	156.697999954	157.677999973	161.360000134	0	17	8	5	5	20	2	0	0
165.049999952	4.67500019099998	167.078999996	167.489000082	169.725000143	0	18	5	30	30	5	2	1	0
171.822999954	5.68400001499998	173.851000071	174.59100008	177.506999969	0	19	11	5	10	15	2	0	0
181.107000113	4.50099992700001	183.136000156	183.286000013	185.60800004	0	20	5	11	15	10	2	1	0
188.519999981	4.45900011099999	190.548000097	190.718000174	192.979000092	0	21	5	6	10	5.99	2	1	0
195.302000046	6.013999939	197.330000162	198.529999971	201.315999985	0	22	19	10	16	25	1	1	0
203.639000177	6.34299993599998	205.667000055	207.567000151	209.982000113	0	23	19	35	22	5	1	0	0
213.45600009	5.289000034	215.483999968	215.554000139	218.745000124	0	24	25	15	15	25	1	1	0
222.351000071	5.47000002800002	224.379000187	224.569000006	227.821000099	0	25	9.99	20	10	15	1	0	0
231.736999989	4.83400011000001	233.766000032	233.996000051	236.571000099	0	26	30	14.99	25	15	1	1	0
239.986000061	5.51200008399999	242.015000105	242.245000124	245.498000145	0	27	8	5	7	10	1	1	0
247.54700017	5.97199988300002	249.575999975	249.786000013	253.519000053	0	28	25	10	15	30	1	1	0
256.736000061	5.13100004199998	258.765000105	259.394999981	261.867000103	0	29	30	15	5	20	1	1	0
265.060000181	5.71899986299996	267.088999987	268.269000053	270.779000044	0	30	10	25	30	15	2	1	0
273.291000128	7.38299989699999	275.321000099	277.381000042	280.674000025	0	31	10	21	30	20	2	1	0
284.048000097	8.349999905	286.077000141	289.258000135	292.398000002	0	32	19	30	21	10	1	0	0
295.209000111	7.33699989299998	297.238000154	298.778000116	302.546000004	0	33	5	6	8	10	2	1	1
306.289999962	6.20600008899999	308.320000172	309.060000181	312.496000051	0	34	5	15	10	10	2	1	0
315.822999954	6.83200001699998	317.851999998	319.173000097	322.654999971	0	35	30	15	20	10	1	1	1
325.808000088	6.66299986800004	327.838000059	328.758000135	332.470999956	0	36	20	5	5	8	1	1	0
335.481000185	4.99799990699995	337.50999999	337.810000181	340.479000092	0	37	30	19	10	21	1	1	0
344.379000187	6.91999983800002	346.407999992	347.318000078	351.299000025	0	38	6	11	12	8	2	1	0
354.947000027	4.95399999599999	356.975000143	357.154999971	359.901000023	0	39	5.99	10	6	5	1	0	0
363.907000065	4.34299993500002	365.935000181	366.185000181	368.25	0	40	15	25	16	5	1	0	0
371.781000137	6.25	373.809000015	374.608999968	378.031000137	0	41	30	5	28	25	2	0	0
381.843000174	5.59099984099998	383.871000051	384.261000156	387.434000015	0	42	11	1	10	21	2	0	0
390.51699996	5.32500004799999	392.545000076	393.125	395.842000008	0	43	25	15	11	22	1	1	0
398.947999954	6.72300005	400.976000071	401.756000042	405.671000004	0	44	10	19	25	16	2	1	0
409.414000034	5.646000147	411.443000078	412.023000002	415.060000181	0	45	10	15	20	20	2	1	1
417.11500001	5.42499995200001	419.143000126	419.893000126	422.539999962	0	46	5	30	25	28	2	1	0
