onset	duration	decisionPhaseOnset	buttonPressTime	resultOnset	isTaskDeception	trial	payout_A_own	payout_A_other	payout_B_own	payout_B_other	choice	isChoiceSelfish	isCatchTrial
10.1349999905	7.4419999122	12.1819999218	15.2820000648	17.5769999027	1	1	7	10	8	5	1	0	0
21.1199998856	9.1290001869	23.1500000954	27.7000000477	30.2490000725	1	2	11	1	10	21	1	1	0
34.2000000477	6.3109998703	36.2290000916	37.2090001106	40.510999918	1	3	12	8	6	11	1	1	0
44	6.8919999599	46.0290000439	47.5190000534	50.8919999599	1	4	15	25	14.99	30	1	1	0
54.2079999447	5.989000082	56.2379999161	56.9579999447	60.1970000267	1	5	5	35	20	20	2	1	0
63.1289999485	5.2460000515	65.1579999924	66.1380000114	68.375	1	6	15	5	10	10	1	1	0
70.6610000134	6.5220000743	72.6900000572	73.1710000038	77.1830000877	1	7	5	6	8	10	1	0	1
80.868999958	5.96000003819999	82.8989999294	84.239000082	86.8289999962	1	8	10	25	30	15	2	1	0
89.8050000668	6.4389998912	91.8350000381	92.6349999905	96.243999958	1	9	15	30	25	10	2	1	0
99.3420000076	8.00600004239999	101.371000051	103.480999947	107.34800005	1	10	25	15	5	16	1	1	0
110.450000048	4.840999841	112.479000092	112.628999949	115.290999889	1	11	30	15	20	10	1	1	1
118.704999924	5.27200007399999	120.73300004	120.743000031	123.976999998	1	12	20	30	21	10	1	0	0
126.009000063	4.56399989100001	128.036999941	128.066999912	130.572999954	1	13	11	5	10	15	2	0	0
133.47300005	5.40199995	135.502000093	135.532000065	138.875	1	14	10	21	30	20	2	1	0
142.826999903	5.374000072	144.855000019	145.644999981	148.200999975	1	15	15	25	22	11	2	1	0
151.375	5.39499998100001	153.403000116	153.523000002	156.769999981	1	16	30	5	5	30	1	1	0
160.321000099	5.49899983399999	162.349999905	162.5	165.819999933	1	17	25	16	10	19	1	1	0
168.75	4.53399992000001	170.779000044	170.868999958	173.28399992	1	18	21	10	19	30	2	0	0
177.250999928	5.04200005499999	179.280999899	179.811000109	182.292999983	1	19	5.99	10	6	5	1	0	0
185.496999979	6.34200000799999	187.525000095	188.476000071	191.838999987	1	20	5	15	10	10	2	1	0
195.305999994	5.95700001700001	197.334000111	197.585000038	201.263000011	1	21	5	11	15	10	2	1	0
204.486999989	6.08599996500001	206.516000032	206.736000061	210.572999954	1	22	30	14.99	25	15	1	1	0
214.484999895	5.548000097	216.513999939	217.124000072	220.032999992	1	23	10	7	5	8	1	1	0
223.40899992	4.27700018899998	225.437999964	225.59800005	227.686000109	1	24	10	5.99	5	6	1	1	0
230.52699995	6.66400003499999	232.555999994	233.915999889	237.190999985	1	25	20	5	15	30	2	0	0
240.976999998	5.50200009400001	243.006000042	243.046000004	246.479000092	1	26	19	35	22	5	1	0	0
248.621000051	6.27399993	250.650000095	251.5	254.894999981	1	27	11	22	25	15	2	1	0
258.467999935	6.90199995099999	260.496999979	261.877000093	265.369999886	1	28	35	5	20	20	1	1	0
268.010999918	5.23200011300003	270.039999962	270.75	273.243000031	1	29	14	10	15	11	1	0	1
276.674000025	5.25200009299999	278.703000069	278.763000011	281.926000118	1	30	30	5	28	25	2	0	0
285.595999956	4.53400015799997	287.624000072	287.904999971	290.130000114	1	31	15	25	16	5	1	0	0
294.109999895	5.49400019699999	296.138999939	296.15899992	299.604000092	1	32	11	6	12	8	2	1	1
303.335999966	6.018000126	305.36500001	306.025000095	309.354000092	1	33	10	5	15	20	2	1	1
312.227999926	5.36199998799998	314.256000042	314.347000122	317.589999914	1	34	30	19	10	21	1	1	0
321.585000038	5.96199989300004	323.612999916	324.082999945	327.546999931	1	35	21	10	1	11	1	1	0
331.503000021	4.80099988000001	333.532000065	334.052000046	336.303999901	1	36	5	8	20	5	2	1	0
340.312999964	5.84299993499997	342.342000008	342.772000074	346.155999899	1	37	15	25	25	15	2	1	0
349.802999973	4.96799993500002	351.832000017	352.201999903	354.770999908	1	38	5	20	8	5	1	0	0
357.296000004	5.27900004399999	359.325000048	359.994999886	362.575000048	1	39	9.99	20	10	15	1	0	0
365.727999926	4.75	367.756999969	368.107000113	370.477999926	1	40	5	22	35	19	2	1	0
372.736999989	5.67600011799999	374.766000032	375.095999956	378.413000107	1	41	16	25	19	10	1	0	0
381.259000063	5.59299993500002	383.286999941	383.60800004	386.851999998	1	42	30	15	5	20	1	1	0
390.207999945	4.60500001900004	392.236999989	392.597000122	394.812999964	1	43	10	25	25	10	2	1	0
397.16899991	4.875	399.19900012	399.739000082	402.04399991	1	44	20	20	10	15	1	1	1
404.687000036	4.67000007700005	406.717000008	406.996999979	409.357000113	1	45	25	28	5	30	1	1	0
412.25	5.02699995	414.278000116	414.549000025	417.27699995	1	46	20	9.99	15	10	1	1	0
