onset	duration	decisionPhaseOnset	buttonPressTime	resultOnset	isTaskDeception	trial	payout_A_own	payout_A_other	payout_B_own	payout_B_other	choice	isChoiceSelfish	isCatchTrial
10.0690000057	10.7519998551	12.0969998837	18.6089999676	20.8209998608	1	1	11	6	12	8	2	1	1
24.5859999657	10.9739999771	26.6139998436	32.4549999237	35.5599999428	1	2	5	22	35	19	2	1	0
38.8319997787	10.6760001183	40.8609998226	46.6309998035	49.507999897	1	3	5	20	30	15	2	1	0
53.5009999275	10.6879999638	55.5289998055	61.0499999523	64.1889998913	1	4	8	5	5	20	2	0	0
67.4239997864	9.7630000114	69.4519999027	74.9539999962	77.1869997978	1	5	22	5	19	35	2	0	0
79.9509999752	12.4149999619	81.9799997807	89.2809998989	92.3659999371	1	6	14.99	30	15	25	1	0	0
96.2170000076	11.5869998934	98.2449998856	104.144999981	107.803999901	1	7	15	25	25	15	2	1	0
110.578999996	8.416999817	112.607999802	114.997999907	118.995999813	1	8	10	21	30	20	2	1	0
121.940999985	11.437999964	123.96999979	130.379999876	133.378999949	1	9	15	11	14	10	1	1	1
136.744999886	11.828000068	138.773999929	145.875	148.572999954	1	10	30	5	28	25	2	0	0
151.851999998	10.169999838	153.880999804	159.581999779	162.021999836	1	11	20	5	15	30	2	0	0
164.963999987	8.52499985700001	166.991999865	170.182999849	173.488999844	1	12	21	10	20	30	2	0	0
176.976999998	9.080999851	179.004999876	182.784999847	186.057999849	1	13	10	21	11	1	1	0	0
188.548999786	11.124000073	190.576999903	195.888999939	199.672999859	1	14	10	5.99	5	6	1	1	0
203.370999813	9.97100019500002	205.398999929	209.689999819	213.342000008	1	15	20	5	5	8	1	1	0
216.931999922	15.320999861	218.960999966	228.561999798	232.252999783	1	16	12	8	6	11	1	1	0
235.578999996	11.99000001	237.607999802	244.447999954	247.569000006	1	17	10	25	30	15	2	1	0
251.073999882	14.046000004	253.101999998	261.89199996	265.119999886	1	18	15	5	10	10	2	0	0
267.302999973	6.99399995800002	269.330999851	271.771999836	274.296999931	1	19	6	5	5.99	10	2	0	0
276.984999895	13.871000052	279.013999939	288.294999838	290.855999947	1	20	10	21	30	19	2	1	0
293.38499999	11.602999926	295.412999868	301.544999838	304.987999916	1	21	25	15	11	22	1	1	0
308.311999798	10.817000151	310.340999842	315.791999817	319.128999949	1	22	7	10	8	5	1	0	0
321.231999874	16.421000004	323.25999999	335.320999861	337.652999878	1	23	35	5	20	20	1	1	0
341.589999914	15.152999878	343.619999886	354.05099988	356.742999792	1	24	30	15	20	10	1	1	1
359.629999876	14.469000101	361.657999992	371.138999939	374.098999977	1	25	22	11	15	25	2	0	0
377.460999966	7.51999998100001	379.488999844	382.228999853	384.980999947	1	26	30	5	5	30	1	1	0
388.886999846	8.71099996500004	390.915999889	395.365999937	397.597999811	1	27	10	15	9.99	20	2	0	0
400.325999975	9.08399987199999	402.355999947	405.665999889	409.409999847	1	28	5	6	8	10	2	1	1
413.223999977	9.30099988000001	415.251999855	418.741999865	422.524999857	1	29	15	10	20	9.99	2	1	0
425.741999865	8.173000097	427.770999908	430.80099988	433.914999962	1	30	5	8	10	7	2	1	0
437.733999968	7.86599993700003	439.761999846	442.101999998	445.599999905	1	31	25	28	5	30	1	1	0
448.357999802	6.71000003800003	450.385999918	452.796999931	455.06799984	1	32	15	25	16	5	1	0	0
458.199999809	5.89900016799999	460.227999926	461.588999987	464.098999977	1	33	15	10	5	11	1	1	0
466.701999903	11.183000087	468.730999947	474.842000008	477.88499999	1	34	19	30	21	10	1	0	0
480.386999846	9.09100008000001	482.414999962	486.025999784	489.477999926	1	35	5	15	10	10	2	1	0
492.375999928	9.61800003000002	494.403999805	499.294999838	501.993999958	1	36	10	15	11	5	1	0	0
505.866999865	8.54400014800001	507.896999836	511.896999836	514.411000013	1	37	25	10	15	30	2	0	0
517.796999931	6.69199991300002	519.824999809	520.755999804	524.488999844	1	38	20	20	5	35	1	1	0
527.123999834	11.7330000400001	529.15199995	536.102999926	538.856999874	1	39	25	16	10	19	1	1	0
542.529999971	6.18700003699996	544.557999849	546.207999945	548.717000008	1	40	20	20	10	15	1	1	1
551.955999851	8.96600007999996	553.983999968	557.38499999	560.921999931	1	41	1	11	21	10	2	1	0
563.195999861	15.740999937	565.223999977	576.463999987	578.936999798	1	42	10	25	25	10	2	1	0
581.15899992	7.82800006899993	583.187999964	586.917999983	588.986999989	1	43	16	25	19	10	1	0	0
591.976999998	6.576999903	594.004999876	595.976999998	598.553999901	1	44	25	15	5	16	1	1	0
602.488999844	6.10500001900004	604.51699996	606.366999865	608.593999863	1	45	10	5	15	20	2	1	1
612.372999907	6.905999898	614.40199995	616.611999989	619.278999805	1	46	25	15	30	14.99	2	1	0
