onset	duration	decisionPhaseOnset	buttonPressTime	resultOnset	isTaskDeception	trial	payout_A_own	payout_A_other	payout_B_own	payout_B_other	choice	isChoiceSelfish	isCatchTrial
10.0629999638	10.6540000438	12.0989999771	18.2190001011	20.7170000076	1	1	35	5	20	20	2	0	0
23.131000042	7.4170000553	25.1600000858	28.0499999523	30.5480000973	1	2	5	6	8	10	2	1	1
32.7100000381	9.2760000229	34.739000082	39.1890001297	41.986000061	1	3	15	25	25	15	2	1	0
44.8229999542	6.0360000134	46.8519999981	47.8220000267	50.8589999676	1	4	30	5	5	30	2	0	0
53.4620001316	10.9269998074	55.4909999371	62.2320001125	64.388999939	1	5	14.99	30	15	25	1	0	0
68.1970000267	5.739000082	70.2260000706	70.5759999752	73.9360001087	1	6	20	5	15	30	2	0	0
76.753000021	8.05299997329999	78.7820000648	82.4720001221	84.8059999943	1	7	19	10	16	25	2	0	0
88.4179999828	6.4630000592	90.4470000267	92.748000145	94.881000042	1	8	25	15	30	14.99	2	1	0
97.7699999809	6.0250000951	99.7990000248	101.328999996	103.795000076	1	9	15	10	5	11	1	1	0
107.261000156	7.009999991	109.291000128	111.071000099	114.271000147	1	10	7	10	8	5	1	0	0
117.738000154	4.923999787	119.76699996	120.308000088	122.661999941	1	11	5	15	10	10	2	1	0
126.161999941	5.683000088	128.190999985	129.552000046	131.845000029	1	12	12	8	11	6	1	1	1
134.707999945	6.39000010499998	136.736999989	137.226999998	141.09800005	1	13	11	1	10	21	2	0	0
143.782000065	5.84999990399999	145.812000036	146.631999969	149.631999969	1	14	10	25	30	15	2	1	0
151.84800005	6.588999986	153.877000093	155.318000078	158.437000036	1	15	20	5	5	8	2	0	0
161.801000118	5.04299998300002	163.832000017	164.661999941	166.844000101	1	16	5	16	25	15	2	1	0
169.039999962	10.095000028	171.070000172	175.789999962	179.13499999	1	17	19	30	21	10	1	0	0
181.575000048	4.92100000300002	183.604000092	184.32400012	186.496000051	1	18	10	15	20	20	2	1	1
188.92200017	7.209999799	190.950999975	192.121000051	196.131999969	1	19	30	15	5	20	1	1	0
198.703999996	5.16300010700002	200.73300004	201.552999973	203.867000103	1	20	10	15	11	5	1	0	0
207.039000034	4.990999937	209.069000006	209.598999977	212.029999971	1	21	5.99	10	6	5	1	0	0
215.126000166	6.53399991999999	217.156000137	217.615999937	221.660000086	1	22	8	5	5	20	2	0	0
225.103000164	4.91299986799999	227.133000135	227.423000097	230.016000032	1	23	22	5	19	35	2	0	0
232.258000135	5.70499992399999	234.286999941	234.647000074	237.963000059	1	24	10	19	25	16	2	1	0
241.240999937	8.079000235	243.269999981	247.150000095	249.320000172	1	25	25	10	10	25	1	1	0
252.817000151	5.46799993500002	254.845000029	255.196000099	258.285000086	1	26	14	10	15	11	2	1	1
262.059999943	6.59500002800002	264.088999987	265.44900012	268.654999971	1	27	20	9.99	15	10	1	1	0
271.570000172	9.19899988100002	273.598999977	276.959000111	280.769000053	1	28	1	11	21	10	2	1	0
283.722000122	6.77099990900001	285.751000166	287.791000128	290.493000031	1	29	10	21	30	19	2	1	0
292.674999952	7.33200001699998	294.703999996	297.884000063	300.006999969	1	30	22	11	15	25	1	1	0
303.552999973	7.93900013000001	305.582000017	308.282000065	311.492000103	1	31	20	20	5	35	1	1	0
315.414000034	7.30200004599999	317.442000151	319.664000034	322.71600008	1	32	15	5	10	10	2	0	0
326.664999962	7.124000072	328.694000006	331.634000063	333.789000034	1	33	10	15	9.99	20	2	0	0
336.736000061	5.01300001099997	338.765000105	339.11500001	341.749000072	1	34	21	10	20	30	2	0	0
345.229000092	7.25099992700001	347.256999969	348.447999954	352.480000019	1	35	12	8	6	11	2	0	0
356.322000027	8.21600008000001	358.350000143	360.880000114	364.538000107	1	36	15	25	16	5	1	0	0
366.582000017	6.29100012800001	368.611000061	369.901000023	372.873000145	1	37	30	20	10	21	1	1	0
375.180999994	4.468000174	377.210000038	377.580000162	379.649000168	1	38	10	5	15	20	2	1	1
383.423000097	6.30900001600003	385.450999975	386.430999994	389.732000113	1	39	11	22	25	15	2	1	0
392.595000029	6.63199996899999	394.623000145	396.643000126	399.226999998	1	40	10	5.99	5	6	2	0	0
403.121000051	6.98399996799998	405.150000095	406.511000156	410.105000019	1	41	25	10	15	30	2	0	0
414.125	8.06100010900002	416.154000044	418.914000034	422.186000109	1	42	10	7	5	8	1	1	0
426.136000156	5.447999955	428.164999962	428.445000172	431.584000111	1	43	30	5	28	25	2	0	0
435.407000065	5.05200004600005	437.436000109	437.825999975	440.459000111	1	44	25	28	5	30	1	1	0
442.627000093	7.99699997900001	444.656000137	446.656000137	450.624000072	1	45	35	19	5	22	1	1	0
454.601000071	5.86400008200002	456.628999949	456.989000082	460.465000153	1	46	20	10	30	15	2	1	1
