onset	duration	decisionPhaseOnset	buttonPressTime	resultOnset	isTaskDeception	trial	payout_A_own	payout_A_other	payout_B_own	payout_B_other	choice	isChoiceSelfish	isCatchTrial
10.1059999466	7.4720001221	12.1510000229	14.6820001602	17.5780000687	1	1	15	10	20	9.99	2	1	0
21.1710000038	6.9670000076	23.2000000477	25.6400001049	28.1380000114	1	2	30	15	10	25	1	1	0
31.9070000648	7.6019999981	33.9349999428	35.5550000668	39.5090000629	1	3	5	15	10	10	2	1	0
42.3830001354	6.2139999867	44.4110000134	45.4420001507	48.5970001221	1	4	10	15	11	5	1	0	0
51.3129999638	6.1560001373	53.3410000801	54.881000042	57.4690001011	1	5	30	19	10	21	1	1	0
60.6410000324	6.3880000115	62.6710000038	63.6909999847	67.0290000439	1	6	25	15	15	25	1	1	0
69.7350001335	4.7489998341	71.7630000114	71.9630000591	74.4839999676	1	7	25	15	5	16	1	1	0
77.256000042	6.36500000950001	79.2840001583	80.2850000858	83.6210000515	1	8	30	5	5	30	1	1	0
87.6100001335	6.388999939	89.6380000114	91.1979999542	93.9990000725	1	9	10	5	15	20	2	1	1
97.9530000687	6.18199992129999	99.9809999466	100.871999979	104.13499999	1	10	10	15	9.99	20	2	0	0
107.60800004	5.63700008400001	109.636000156	109.845999956	113.245000124	1	11	21	10	1	11	1	1	0
115.835000038	6.207999945	117.863000154	118.523000002	122.042999983	1	12	30	5	28	25	2	0	0
124.295000076	6.698999882	126.322999954	128.193000078	130.993999958	1	13	5	8	20	5	2	1	0
134.430000067	4.80699992199999	136.457999945	136.677999973	139.236999989	1	14	20	10	30	15	2	1	1
141.821000099	6.57999992399999	143.848999977	145.819000006	148.401000023	1	15	5	20	8	5	1	0	0
151.56400013	5.74699997899998	153.592000008	154.131999969	157.311000109	1	16	6	11	12	8	2	1	0
160.195000172	6.18899989100001	162.22300005	164.143000126	166.384000063	1	17	25	16	10	19	1	1	0
169.568000078	7.35999989499999	171.595999956	173.065999985	176.927999973	1	18	10	5.99	5	6	2	0	0
179.930000067	8.07399988199998	181.957999945	184.478000164	188.003999949	1	19	15	30	20	5	1	0	0
191.687999964	5.90100002299999	193.71600008	194.305999994	197.588999987	1	20	5	8	10	7	2	1	0
200.888000011	6.035000086	202.917000055	202.937000036	206.923000097	1	21	20	20	10	15	1	1	1
210.871000051	5.786000014	212.900000095	213.330000162	216.657000065	1	22	14	10	15	11	2	1	1
218.863000154	6.001999856	220.89199996	221.502000093	224.86500001	1	23	5.99	10	6	5	1	0	0
227.065000057	5.31800007800001	229.093000174	230.123000145	232.383000135	1	24	11	22	25	15	2	1	0
235.009000063	7.224999905	237.036999941	238.518000126	242.233999968	1	25	20	20	35	5	2	1	0
245.036999941	5.553000212	247.065000057	247.434999943	250.590000153	1	26	7	10	8	5	1	0	0
254.080000162	7.115999937	256.108999968	257.600000143	261.196000099	1	27	25	10	15	30	1	1	0
264.861999989	6.51200008299998	266.890000105	268.840000153	271.374000072	1	28	11	1	10	21	2	0	0
274.338999987	7.98699998799998	276.367000103	278.657000065	282.325999975	1	29	19	10	16	25	2	0	0
285.886000156	6.53799986899998	287.914000034	289.674999952	292.424000025	1	30	22	11	15	25	1	1	0
295.391000032	5.924000025	297.419000149	297.900000095	301.315000057	1	31	30	20	10	21	1	1	0
304.506000042	6.46600008000001	306.535000086	307.526000023	310.972000122	1	32	16	5	15	25	2	0	0
313.572999954	7.50800013599996	315.603000164	317.072999954	321.08100009	1	33	30	15	5	20	1	1	0
323.453999996	6.81200003600003	325.48300004	326.763000011	330.266000032	1	34	14.99	30	15	25	1	0	0
332.633000135	5.64899993	334.661999941	336.092000008	338.282000065	1	35	19	30	21	10	1	0	0
342.222000122	5.152999878	344.25	344.730999947	347.375	1	36	22	5	19	35	2	0	0
350.243999958	6.17000007600001	352.272000074	353.93200016	356.414000034	1	37	20	30	21	10	1	0	0
360.055999994	6.875	362.084000111	363.31400013	366.930999994	1	38	30	14.99	25	15	1	1	0
369.207999945	5.691000223	371.236000061	372.595999956	374.899000168	1	39	35	19	5	22	1	1	0
378.055000067	5.13499999000004	380.082999945	381.123000145	383.190000057	1	40	25	10	10	25	1	1	0
386.523000002	5.21800017300001	388.551000118	388.751000166	391.741000175	1	41	15	10	5	11	1	1	0
393.957000017	5.77900004400004	395.986000061	396.756000042	399.736000061	1	42	5	35	20	20	2	1	0
403.565000057	5.53999996199997	405.593000174	406.243000031	409.105000019	1	43	11	6	12	8	2	1	1
412.319000006	7.38499998999998	414.347000122	416.26699996	419.703999996	1	44	5	30	25	28	2	1	0
423.683000088	6.38899993900003	425.710999966	426.220999956	430.072000027	1	45	8	10	5	6	1	1	1
433.572000027	6.67400002400001	435.600000143	437.340000153	440.246000051	1	46	10	10	15	5	1	0	0
