onset	duration	decisionPhaseOnset	buttonPressTime	resultOnset	isTaskDeception	trial	payout_A_own	payout_A_other	payout_B_own	payout_B_other	choice	isChoiceSelfish	isCatchTrial
10.0690000057	5.9200000763	12.0970001221	13.0280001163	15.989000082	0	1	30	15	20	10	1	1	1
19.4750001431	7.5479998588	21.503000021	22.9830000401	27.0230000019	0	2	16	25	19	10	1	0	0
30.1710000038	7.4570000172	32.1990001202	33.638999939	37.628000021	0	3	10	10	15	5	1	0	0
41.4490001202	6.6009998321	43.4769999981	45.1270000935	48.0499999523	0	4	5	8	20	5	2	1	0
51.9440000057	6.2220001221	53.9730000496	55.6930000782	58.1660001278	0	5	5.99	10	6	5	1	0	0
61.361000061	6.382999897	63.388999939	64.7290000916	67.743999958	0	6	10	15	11	5	1	0	0
71.4300000668	6.2769999504	73.4579999447	74.5280001163	77.7070000172	0	7	25	28	5	30	1	1	0
80.3510000706	6.4049999714	82.3789999485	83.9490001202	86.756000042	0	8	10	5	15	20	2	1	1
89.8919999599	6.05000019079999	91.9200000763	93.2200000286	95.9420001507	0	9	8	5	5	20	2	0	0
98.1240000725	8.0409998895	100.15199995	102.262000084	106.164999962	0	10	22	5	19	35	2	0	0
109.667000055	6.703000069	111.694999933	113.785000086	116.370000124	0	11	8	5	7	10	2	0	0
119.750999928	7.35700011199999	121.779000044	123.719000101	127.10800004	0	12	25	10	15	30	1	1	0
129.868999958	9.36400008200002	131.897000074	135.51699996	139.23300004	0	13	14	10	15	11	1	0	1
142.539000034	6.80200004599999	144.567000151	145.617000103	149.34100008	0	14	14.99	30	15	25	1	0	0
153.10800004	9.000999928	155.136000156	158.575999975	162.108999968	0	15	35	5	20	20	2	0	0
165.181999922	4.972000122	167.210000038	167.930000067	170.154000044	0	16	30	20	10	21	1	1	0
172.627000093	6.12299990700001	174.654999971	175.515000105	178.75	0	17	5	16	25	15	2	1	0
181.404999971	5.914999962	183.433000088	184.873000145	187.319999933	0	18	19	30	21	10	1	0	0
191.248000145	6.06799984	193.276000023	195.147000074	197.315999985	0	19	11	22	25	15	2	1	0
199.683000088	6.93000006599999	201.710999966	202.921000004	206.613000154	0	20	15	10	5	11	1	1	0
209.193000078	7.51300001199999	211.222000122	212.743000031	216.70600009	0	21	20	5	15	30	2	0	0
219.016000032	5.443000079	221.044000149	222.223999977	224.459000111	0	22	10	5.99	5	6	1	1	0
226.528000116	5.78199982700002	228.555999994	229.76699996	232.309999943	0	23	10	10	5	15	1	1	0
235.068000078	7.07399988199998	237.095999956	238.896000147	242.14199996	0	24	5	20	30	15	2	1	0
244.786000013	7.865999937	246.815000057	249.38499999	252.65199995	0	25	22	11	15	25	2	0	0
255.960000038	5.97099995599999	257.988000154	258.988000154	261.930999994	0	26	30	15	10	25	1	1	0
264.450000048	5.40400004399999	266.477999926	267.568000078	269.854000092	0	27	5	22	35	19	2	1	0
272.844000101	6.64599990900001	274.873000145	275.852999926	279.49000001	0	28	28	25	30	5	1	0	0
282.827000141	6.54899978700001	284.855999947	286.105999947	289.375999928	0	29	30	19	10	21	1	1	0
292.15199995	6.73900008200002	294.180999994	296.720999956	298.891000032	0	30	30	5	5	30	2	0	0
301.095000029	8.05900001499998	303.124000072	305.953999996	309.154000044	0	31	15	25	25	15	2	1	0
312.597000122	6.977999926	314.625999928	315.736000061	319.575000048	0	32	11	1	10	21	2	0	0
321.761000156	5.500999928	323.791000128	324.990999937	327.262000084	0	33	20	20	10	15	1	1	1
330.210000038	6.59699988400001	332.239000082	333.559000015	336.806999922	0	34	5	8	10	7	2	1	0
339.36500001	7.33500003799998	341.394000053	343.28399992	346.700000048	0	35	25	10	10	25	1	1	0
349.164999962	7.85899996699999	351.194999933	354.295000076	357.023999929	0	36	6	11	12	8	2	1	0
359.118000031	6.06299996299998	361.147000074	362.27699995	365.180999994	0	37	12	8	11	6	1	1	1
368.802000046	5.81100010800003	370.832000017	371.992000103	374.613000154	0	38	30	14.99	25	15	1	1	0
377.924000025	6.00600004199998	379.953999996	381.32400012	383.930000067	0	39	25	16	10	19	1	1	0
386.249000072	5.58299994499998	388.278000116	389.217999935	391.832000017	0	40	21	10	1	11	1	1	0
395.664999962	6.424000025	397.694000006	398.594000101	402.088999987	0	41	5	6	8	10	2	1	1
405.927000046	5.875	407.954999924	409.654999971	411.802000046	0	42	10	15	9.99	20	2	0	0
414.393000126	7.455999851	416.421000004	418.041000128	421.848999977	0	43	15	10	20	9.99	2	1	0
424.944000006	6.13300013499997	426.972000122	428.472000122	431.077000141	0	44	21	10	20	30	2	0	0
434.220000029	6.69700002600001	436.248000145	437.238000154	440.917000055	0	45	15	25	16	5	1	0	0
444.044000149	7.03899979599998	446.072000027	447.462000132	451.082999945	0	46	20	20	5	35	1	1	0
