onset	duration	decisionPhaseOnset	buttonPressTime	resultOnset	isTaskDeception	trial	payout_A_own	payout_A_other	payout_B_own	payout_B_other	choice	isChoiceSelfish	isCatchTrial
10.0620000362	9.2580001355	12.0980000496	15.7180001736	19.3200001717	1	1	9.99	20	10	15	1	0	0
23.0920000076	10.0020000935	25.1210000515	30.2410001755	33.0940001011	1	2	5.99	10	6	5	1	0	0
36.1560001373	7.6840000153	38.1860001087	41.1660001278	43.8400001526	1	3	5	8	20	5	2	1	0
46.8250000477	5.8450000286	48.8540000916	50.5040001869	52.6700000763	1	4	25	15	5	16	1	1	0
55.2170000076	5.9150002003	57.2470002174	58.3970000744	61.1320002079	1	5	10	5	15	20	2	1	1
64.7630000114	7.7580001355	66.7920000553	69.9620001316	72.5210001469	1	6	14	10	15	11	2	1	1
75.1370000839	8.9089999199	77.1650002003	80.7260000706	84.0460000038	1	7	15	25	22	11	2	1	0
87.6640000343	5.1590001583	89.6930000782	90.6340000629	92.8230001926	1	8	20	10	30	15	2	1	1
95.6040000916	11.5569999214	97.6330001354	103.753000021	107.161000013	1	9	8	5	7	10	2	0	0
109.652000189	8.35500001899999	111.680999994	114.631000042	118.007000208	1	10	15	25	16	5	2	1	0
120.416000128	8.34699988300001	122.444000006	124.944000006	128.763000011	1	11	25	10	10	25	1	1	0
132.001000166	6.450999975	134.03000021	135.400000095	138.452000141	1	12	30	15	5	20	1	1	0
141.816000223	7.116999865	143.846000195	146.106000185	148.933000088	1	13	15	5	10	10	1	1	0
151.282000065	6.86400008199999	153.311000109	154.33100009	158.146000147	1	14	8	10	5	6	1	1	1
161.745000124	7.24699997900001	163.774000168	165.384000063	168.992000103	1	15	21	10	20	30	2	0	0
171.301000118	6.80500006700001	173.330000162	175.910000086	178.106000185	1	16	22	5	19	35	1	1	0
180.909000158	7.42700004599999	182.938000202	185.518000126	188.336000204	1	17	1	11	21	10	2	1	0
192.241000175	6.10199999899999	194.270000219	195.481000185	198.343000174	1	18	5	11	15	10	2	1	0
201.661000013	6.27200007499999	203.690000057	205	207.933000088	1	19	20	5	15	30	1	1	0
211.462000132	6.73199987400002	213.492000103	215.642000198	218.194000006	1	20	15	30	25	10	2	1	0
220.646000147	13.062999964	222.675000191	231.426000118	233.709000111	1	21	21	10	19	30	1	1	0
236.916000128	7.38199996899999	238.945000172	241.545000076	244.298000097	1	22	25	28	5	30	1	1	0
247.246000051	6.41400003499999	249.275000095	251.105000019	253.660000086	1	23	10	5.99	5	6	1	1	0
255.860000134	6.23499989500002	257.889000177	258.179000139	262.095000029	1	24	6	11	12	8	2	1	0
264.32400012	8.26200008400002	266.354000092	269.474000216	272.586000204	1	25	28	25	30	5	2	1	0
275.971000195	10.855999946	278	283.441000223	286.827000141	1	26	30	14.99	25	15	1	1	0
290.728000164	8.549000025	292.757000208	295.417000055	299.277000189	1	27	5	30	30	5	2	1	0
302.650000095	6.62899994899999	304.679000139	306.519000053	309.279000044	1	28	5	8	10	7	2	1	0
312.394000053	7.82899999699998	314.423000097	317.133000135	320.22300005	1	29	35	5	20	20	1	1	0
323.305999994	7.14000010500001	325.335000038	328.045000076	330.446000099	1	30	30	19	10	21	1	1	0
333.270000219	5.04099989000002	335.299000025	335.830000162	338.311000109	1	31	5	15	10	10	2	1	0
341.734000206	8.78099989899999	343.763000011	347.513000011	350.515000105	1	32	10	21	30	20	2	1	0
352.652000189	9.51600003200002	354.683000088	359.693000078	362.168000221	1	33	20	20	10	15	1	1	1
364.877000093	11.029000044	366.906000137	373.29700017	375.906000137	1	34	19	10	16	25	1	1	0
378.180999994	5.92200016999999	380.210000038	381.660000086	384.103000164	1	35	11	5	10	15	2	0	0
388.088000059	5.82400011999999	390.117000103	390.427000046	393.912000179	1	36	35	19	5	22	1	1	0
397.511000156	5.41400003499996	399.5400002	400.670000076	402.925000191	1	37	10	25	30	15	2	1	0
405.505000114	6.16199994100003	407.534000158	409.284000158	411.667000055	1	38	20	9.99	15	10	1	1	0
413.959000111	8.74699997899995	415.988000154	419.188000202	422.70600009	1	39	11	6	12	8	2	1	1
425.455000162	8.86299991600004	427.484000206	432.07400012	434.318000078	1	40	25	15	15	25	1	1	0
436.850000143	7.648000002	438.879000187	440.810000181	444.498000145	1	41	10	19	25	16	2	1	0
448.50999999	7.91100001400002	450.539000034	454.179000139	456.421000004	1	42	20	20	5	35	1	1	0
458.463000059	9.25399994899999	460.492000103	464.282000065	467.717000008	1	43	15	25	14.99	30	2	0	0
471.688000202	6.94199991199997	473.717000008	475.308000088	478.630000114	1	44	25	15	11	22	1	1	0
481.055000067	9.173000097	483.084000111	486.474000216	490.228000164	1	45	5	20	8	5	1	0	0
494.058000088	8.870000124	496.087000132	499.327000141	502.928000212	1	46	10	21	11	1	1	0	0
