onset	duration	decisionPhaseOnset	buttonPressTime	resultOnset	isTaskDeception	trial	payout_A_own	payout_A_other	payout_B_own	payout_B_other	choice	isChoiceSelfish	isCatchTrial
10.0559999943	13.4210000038	12.0849997997	20.7059998512	23.4769999981	0	1	5	6	10	5.99	1	0	0
26.7889997959	10.0230000019	28.8179998398	33.368999958	36.8119997978	0	2	5	8	20	5	1	0	0
39.4110000134	6.1569998264	41.4399998188	42.25	45.5679998398	0	3	5	6	8	10	2	1	1
48.2899999619	9.5939998626	50.3190000057	55.018999815	57.8839998245	0	4	30	15	20	10	1	1	1
60.125	6.4379999638	62.1539998055	62.763999939	66.5629999638	0	5	14.99	30	15	25	1	0	0
69.1809999943	5.75	71.2089998722	72.0389997959	74.9309999943	0	6	10	25	25	10	2	1	0
77.1109998226	4.57899999620001	79.1399998665	79.2999999523	81.6899998188	0	7	21	10	20	30	2	0	0
85.3129999638	6.1710000038	87.3420000076	88.0519998074	91.4839999676	0	8	7	10	8	5	1	0	0
94.9749999046	6.3910000324	97.0039999485	97.643999815	101.365999937	0	9	30	5	28	25	2	0	0
103.562999964	4.680999994	105.592000008	105.821999788	108.243999958	0	10	25	15	15	25	1	1	0
111.948999882	5.54100012800001	113.977999926	115.187999964	117.49000001	0	11	10	21	30	19	2	1	0
120.346999884	7.24300003	122.375999928	124.695999861	127.589999914	0	12	8	5	5	20	1	1	0
131.279999971	5.26600003300001	133.308999777	133.968999863	136.546000004	0	13	5	35	20	20	1	0	0
140.552999973	4.51099991800001	142.581999779	142.931999922	145.063999891	0	14	5.99	10	6	5	2	1	0
148.116999865	4.529999971	150.145999908	150.275999784	152.646999836	0	15	20	20	35	5	2	1	0
155.023000002	6.161999941	157.051999807	157.65199995	161.184999943	0	16	11	6	12	8	1	0	1
164.444999933	5.585999966	166.473999977	166.683999777	170.030999899	0	17	25	28	5	30	1	1	0
173.296000004	7.21999979	175.324999809	177.234999895	180.515999794	0	18	30	5	5	30	2	0	0
183.622999907	8.63199996899999	185.650999784	189.172999859	192.254999876	0	19	5	15	10	10	1	0	0
195.306999922	5.575999975	197.335999966	197.955999851	200.882999897	0	20	10	21	11	1	1	0	0
204.684999943	7.29299998299999	206.713999987	209.804999828	211.977999926	0	21	15	5	10	10	2	0	0
214.383999825	5.73399996700002	216.412999868	216.773000002	220.117999792	0	22	22	11	15	25	2	0	0
223.945999861	5.55500006700001	225.975999832	226.555999994	229.500999928	0	23	15	20	10	5	1	1	1
233.148999929	5.94199991299999	235.177999973	235.657999992	239.090999842	0	24	25	16	10	19	1	1	0
242.44299984	4.518000126	244.471999884	244.701999903	246.960999966	0	25	21	10	19	30	2	0	0
250.221999884	7.89400005300001	252.250999928	255.990999937	258.115999937	0	26	25	10	15	30	1	1	0
260.361999989	7.54399990999997	262.390999794	265.460999966	267.905999899	0	27	22	5	19	35	2	0	0
271.427999973	5.80299997399999	273.457999945	273.787999868	277.230999947	0	28	20	20	10	15	1	1	1
281.105999947	6.398000002	283.13499999	283.564999819	287.503999949	0	29	9.99	20	10	15	1	0	0
290.50999999	5.02999997200004	292.537999868	292.838999987	295.539999962	0	30	15	10	5	11	2	0	0
297.847999811	6.552999973	299.876999855	300.946999788	304.400999784	0	31	25	15	5	16	1	1	0
307.484999895	4.84800005	309.513999939	310.023999929	312.332999945	0	32	16	25	19	10	1	0	0
315.319000006	5.66399979599998	317.347999811	317.56799984	320.982999802	0	33	1	11	21	10	2	1	0
324.529999971	6.06299996400003	326.558999777	327.428999901	330.592999935	0	34	20	9.99	15	10	1	1	0
334.273999929	5.75900006299997	336.301999807	337.051999807	340.032999992	0	35	15	25	16	5	1	0	0
343.805999994	5.50699997000004	345.833999872	346.244999886	349.312999964	0	36	12	8	6	11	2	0	0
351.672999859	4.60100007	353.701999903	354.191999912	356.273999929	0	37	30	14.99	25	15	1	1	0
359.071999788	6.169000149	361.100999832	362.210999966	365.240999937	0	38	14	10	15	11	2	1	1
367.765999794	4.88100004200004	369.794999838	370.164999962	372.646999836	0	39	10	7	5	8	1	1	0
375.138999939	4.94499993300002	377.166999817	377.638000011	380.083999872	0	40	5	22	35	19	2	1	0
384.104999781	5.86600017500001	386.133999825	386.523999929	389.970999956	0	41	30	20	10	21	2	0	0
392.081999779	4.88800001099997	394.110999823	394.460999966	396.96999979	0	42	5	20	30	15	2	1	0
399.407999992	5.78099989899999	401.436999798	401.846999884	405.188999891	0	43	11	22	25	15	2	1	0
407.975999832	7.347000122	410.004999876	411.474999905	415.322999954	0	44	11	5	10	15	2	0	0
419.166999817	5.98000001900004	421.195999861	421.635999918	425.146999836	0	45	30	15	10	25	1	1	0
428.563999891	6.93099999500004	430.592999935	432.013000011	435.494999886	0	46	15	30	20	5	1	0	0
