onset	duration	decisionPhaseOnset	buttonPressTime	resultOnset	isTaskDeception	trial	payout_A_own	payout_A_other	payout_B_own	payout_B_other	choice	isChoiceSelfish	isCatchTrial
10.0690000057	14.888999939	12.0989999771	21.5590000153	24.9579999447	1	1	20	10	30	15	2	1	1
27.4449999332	9.3200001717	29.4750001431	34.0550000668	36.7650001049	1	2	5	20	30	15	2	1	0
39.2160000801	16.3120000362	41.245000124	52.8359999657	55.5280001163	1	3	5	30	25	28	2	1	0
59.4100000858	8.3759999276	61.4390001297	64.9900000095	67.7860000134	1	4	10	21	30	19	2	1	0
69.9570000172	12.0209999084	71.9850001335	79.0350000858	81.9779999256	1	5	5.99	10	6	5	1	0	0
85.4040000439	8.0439999103	87.4330000877	90.5429999828	93.4479999542	1	6	20	20	5	35	1	1	0
96.868999958	5.475000143	98.8989999294	100.019000053	102.344000101	1	7	30	14.99	25	15	1	1	0
104.930999994	5.693000078	106.959000111	107.078999996	110.624000072	1	8	22	11	15	25	1	1	0
112.891000032	7.802000046	114.920000076	117.990999937	120.693000078	1	9	7	10	8	5	2	1	0
123.174000025	7.23699998800001	125.203999996	127.03399992	130.411000013	1	10	15	25	25	15	2	1	0
133.347000122	12.261999846	135.378000021	142.548000097	145.608999968	1	11	21	10	19	30	2	0	0
149.396000147	8.129999876	151.426000118	154.385999918	157.526000023	1	12	15	11	14	10	1	1	1
160.627000093	6.51999998100001	162.656000137	164.506000042	167.147000074	1	13	5	6	10	5.99	2	1	0
170.766000032	8.197000027	172.794000149	174.953999996	178.963000059	1	14	19	35	22	5	1	0	0
182.200000048	9.22000002800002	184.227999926	188.789000034	191.420000076	1	15	5	15	10	10	2	1	0
195.101000071	5.42599987900002	197.130000114	198.299999952	200.52699995	1	16	16	5	15	25	1	1	0
203.229000092	5.187000036	205.259000063	205.809000015	208.416000128	1	17	10	25	25	10	2	1	0
211.674999952	6.406000138	213.703999996	216.003999949	218.08100009	1	18	20	20	35	5	1	0	0
220.568000078	6.303999901	222.59800005	222.917999983	226.871999979	1	19	25	10	15	30	1	1	0
229.328000069	5.20799994399999	231.357000113	231.796999931	234.536000013	1	20	5	22	35	19	2	1	0
236.601999998	5.365999937	238.631999969	239.171999931	241.967999935	1	21	12	8	6	11	1	1	0
244.118999958	7.42900013900001	246.148000002	249.258000135	251.548000097	1	22	21	10	1	11	1	1	0
253.737999916	5.52200007399998	255.76699996	256.288000107	259.25999999	1	23	30	20	10	21	1	1	0
262.375999928	6.40500020899998	264.404999971	264.975000143	268.781000137	1	24	10	7	5	8	1	1	0
271.884000063	4.95600009000003	273.914000034	274.434000015	276.840000153	1	25	30	15	10	25	1	1	0
280.555000067	5.81800007800001	282.584000111	283.604000092	286.373000145	1	26	5	30	30	5	2	1	0
290.10800004	6.96000003800003	292.138000011	294.487999916	297.068000078	1	27	5	6	8	10	2	1	1
300.631000042	5.56100010900002	302.660000086	303.019999981	306.192000151	1	28	14.99	30	15	25	1	0	0
308.987999916	5.61100006100003	311.01699996	311.677000046	314.598999977	1	29	15	10	20	9.99	2	1	0
317.236000061	8.46499991399997	319.263999939	322.263999939	325.700999975	1	30	11	5	10	15	1	1	0
329.262000084	4.86500000899997	331.291000128	331.83100009	334.127000093	1	31	20	5	5	8	1	1	0
337.035000086	6.26099991799998	339.062999964	339.542999983	343.296000004	1	32	10	15	20	20	2	1	1
346.023999929	5.57300019299998	348.052000046	348.871999979	351.597000122	1	33	5	11	15	10	2	1	0
355.190999985	5.08400010999998	357.220000029	357.799999952	360.275000095	1	34	15	30	20	5	2	1	0
362.779000044	5.730999946	364.808000088	365.558000088	368.50999999	1	35	8	5	5	20	1	1	0
371.226999998	5.96399998700002	373.255000114	373.575999975	377.190999985	1	36	10	15	9.99	20	2	0	0
381.018000126	9.15100002299999	383.046000004	386.365999937	390.169000149	1	37	15	5	10	10	1	1	0
393.473999977	12.121999979	395.503000021	402.944000006	405.595999956	1	38	28	25	30	5	1	0	0
407.77699995	5.49000001000002	409.805999994	410.166000128	413.26699996	1	39	11	6	12	8	2	1	1
416.611999989	5.83800005899997	418.640000105	419.059999943	422.450000048	1	40	5	16	25	15	2	1	0
424.789000034	6.33200001699998	426.818000078	427.187999964	431.121000051	1	41	11	22	25	15	2	1	0
434.578000069	6.25300002099999	436.607000113	436.967000008	440.83100009	1	42	25	16	10	19	1	1	0
444.600000143	5.830999851	446.628999949	447.118999958	450.430999994	1	43	21	10	20	30	2	0	0
454.396000147	5.81499981899998	456.424999952	457.414999962	460.210999966	1	44	11	1	10	21	2	0	0
463.867000103	6.81399989099998	465.897000074	468.167000055	470.680999994	1	45	16	25	19	10	2	1	0
472.883000135	5.224999905	474.911999941	476.002000093	478.10800004	1	46	10	5	15	20	2	1	1
