onset	duration	decisionPhaseOnset	buttonPressTime	resultOnset	isTaskDeception	trial	payout_A_own	payout_A_other	payout_B_own	payout_B_other	choice	isChoiceSelfish	isCatchTrial
10.0569999218	6.4580001831	12.0859999657	13.9760000706	16.5150001049	1	1	30	14.99	25	15	2	0	0
19.007999897	7.5420000553	21.0369999409	22.9470000267	26.5499999523	1	2	10	25	25	10	1	0	0
30.4820001125	4.7019999028	32.5099999905	33.0499999523	35.1840000153	1	3	10	5	15	20	2	1	1
38.7630000114	7.4419999123	40.7920000553	43.242000103	46.2049999237	1	4	10	21	30	19	1	0	0
49.9360001087	6.1139998436	51.9649999142	53.4849998951	56.0499999523	1	5	10	10	15	5	1	0	0
58.1340000629	5.6710000039	60.1630001068	61.3429999352	63.8050000668	1	6	19	30	21	10	1	0	0
66.4660000801	7.879999876	68.495000124	71.1549999714	74.3459999561	1	7	35	19	5	22	1	1	0
77.370000124	6.46299982070001	79.3989999294	81.0399999619	83.8329999447	1	8	15	10	20	9.99	2	1	0
85.9309999943	6.13599991800001	87.9590001106	89.5690000057	92.0669999123	1	9	5	6	10	5.99	1	0	0
95.5329999924	5.6940000056	97.5629999638	98.5729999542	101.226999998	1	10	11	1	10	21	2	0	0
104.450000048	6.746000051	106.477999926	108.588000059	111.196000099	1	11	15	30	25	10	1	0	0
114.20600009	7.388000011	116.236000061	117.996000051	121.594000101	1	12	10	15	9.99	20	2	0	0
124.928999901	5.86600017500001	126.957000017	128.147000074	130.795000076	1	13	15	10	5	11	1	1	0
133.082999945	6.53600001299998	135.111999989	137.171999931	139.618999958	1	14	21	10	1	11	1	1	0
142.812000036	5.299000025	144.84100008	145.421000004	148.111000061	1	15	30	5	28	25	2	0	0
151.167000055	7.95000004800002	153.196000099	156.135999918	159.117000103	1	16	30	5	5	30	2	0	0
161.588999987	6.09299993499999	163.618999958	164.348999977	167.681999922	1	17	10	7	5	8	1	1	0
171.131999969	6.16300010700002	173.161000013	173.811000109	177.295000076	1	18	35	5	20	20	2	0	0
180.062999964	6.835000038	182.092000008	184.191999912	186.898000002	1	19	30	20	10	21	1	1	0
189.684000015	5.34200000799999	191.711999893	192.213000059	195.026000023	1	20	11	5	10	15	2	0	0
197.809999943	4.93000006699998	199.838000059	200.507999897	202.74000001	1	21	12	8	6	11	1	1	0
205.489000082	5.20499992400002	207.517999887	208.148000002	210.694000006	1	22	11	6	12	8	2	1	1
213.707999945	5.26900005299998	215.736000061	216.305999994	218.976999998	1	23	15	25	22	11	1	0	0
222.670000076	5.61299991599998	224.697999954	225.717999935	228.282999992	1	24	6	5	5.99	10	2	0	0
231.572999954	6.34100007999999	233.601999998	234.082000017	237.914000034	1	25	5	30	25	28	2	1	0
241.653000116	5.350999833	243.680999994	244.151000023	247.003999949	1	26	20	5	5	8	1	1	0
249.048000097	6.164999962	251.076999903	251.536999941	255.213000059	1	27	10	19	25	16	2	1	0
258.565999985	6.29699993099996	260.595000029	261.045000076	264.862999916	1	28	30	15	5	20	1	1	0
268.111999989	5.89000010399997	270.141000032	271.690999985	274.002000093	1	29	20	20	5	35	1	1	0
276.078000069	5.42199993100002	278.107000113	279.137000084	281.5	1	30	14	10	15	11	2	1	1
285.171999931	6.45200014099998	287.200999975	288.611000061	291.624000072	1	31	10	25	30	15	2	1	0
295.585000038	5.121000052	297.614000082	297.924000025	300.70600009	1	32	5	16	25	15	2	1	0
304.219000101	6.61299991599998	306.249000072	307.069999933	310.832000017	1	33	8	10	5	6	1	1	1
313.256000042	5.99300003000002	315.286999941	315.647000074	319.249000072	1	34	15	25	16	5	1	0	0
321.990999937	6.59100007999996	324.019999981	325.34100008	328.582000017	1	35	7	10	8	5	1	0	0
330.894999981	4.76300001099997	332.924000025	333.404000044	335.657999992	1	36	21	10	20	30	2	0	0
339.328999996	6.201999903	341.35800004	342.779000044	345.530999899	1	37	15	25	25	15	1	0	0
347.88499999	5.06699991300002	349.914000034	350.634000063	352.951999903	1	38	16	25	19	10	1	0	0
355.872999907	6.85800003999998	357.90199995	360.102999926	362.730999947	1	39	5	20	8	5	1	0	0
366.315000057	4.93799996399997	368.345000029	368.785000086	371.253000021	1	40	19	35	22	5	1	0	0
373.595000029	5.44099998399997	375.624000072	376.07400012	379.036000013	1	41	15	30	20	5	1	0	0
382.417000055	5.00799989699999	384.446000099	384.885999918	387.424999952	1	42	20	10	30	15	2	1	1
391.36500001	5.95700001699998	393.394000053	393.813999891	397.322000027	1	43	11	22	25	15	2	1	0
400.63499999	6.799999953	402.664000034	403.584000111	407.434999943	1	44	10	10	5	15	2	0	0
410.674000025	5.55900001499998	412.704999924	412.755000114	416.23300004	1	45	15	25	14.99	30	2	0	0
418.578000069	5.41100001300003	420.60800004	421.388000011	423.989000082	1	46	20	20	10	15	1	1	1
