onset	duration	decisionPhaseOnset	buttonPressTime	resultOnset	isTaskDeception	trial	payout_A_own	payout_A_other	payout_B_own	payout_B_other	choice	isChoiceSelfish	isCatchTrial
10.1050000191	9.8789999485	12.1579999924	16.1979999542	19.9839999676	1	1	15	20	10	5	1	1	1
23.4129998684	14.1990001202	25.4419999123	35.1119999886	37.6119999886	1	2	15	11	14	10	1	1	1
39.6710000038	17.5999999046	41.7000000477	53.4909999371	57.2709999084	1	3	10	15	11	5	2	1	0
60.875	14.9629998207	62.9040000439	72.4539999962	75.8379998207	1	4	5	30	25	28	2	1	0
78.3899998665	8.9450001716	80.4179999828	85.2790000439	87.3350000381	1	5	28	25	30	5	1	0	0
90.9509999752	10.0009999278	92.9789998531	98.4099998474	100.951999903	1	6	30	15	5	20	1	1	0
104.291999817	7.53700017899999	106.319999933	109.121000051	111.828999996	1	7	5	15	10	10	2	1	0
113.934000015	7.87699985500001	115.961999893	117.882999897	121.81099987	1	8	8	10	5	6	1	1	1
124.654999971	6.18099999500001	126.684000015	127.873999834	130.835999966	1	9	1	11	21	10	2	1	0
133.257999897	8.102999926	135.286000013	137.697000027	141.360999823	1	10	10	15	20	20	2	1	1
143.474999905	7.79600000299999	145.503999949	148.13499999	151.270999908	1	11	10	5.99	5	6	2	0	0
154.519000053	8.02599978499998	156.546999931	159.187000036	162.544999838	1	12	10	21	11	1	1	0	0
166.369999886	8.44200015000001	168.398000002	171.437999964	174.812000036	1	13	6	5	5.99	10	2	0	0
177.960000038	8.255999804	179.987999916	182.470000029	186.215999842	1	14	8	5	5	20	2	0	0
189.621000051	8.081999779	191.648999929	193.978999853	197.70299983	1	15	5	11	15	10	2	1	0
201.678999901	12.153000116	203.707000017	211.01699996	213.832000017	1	16	15	25	22	11	2	1	0
217.348999977	9.134999991	219.376999855	223.07799983	226.483999968	1	17	10	21	30	20	2	1	0
228.602999926	7.69000005699999	230.631000042	234.151000023	236.292999983	1	18	5	8	10	7	2	1	0
239.085999966	10.937000036	241.113999844	247.434999943	250.023000002	1	19	25	15	11	22	2	0	0
253.38499999	8.77600002299997	255.414000034	258.184000015	262.161000013	1	20	16	25	19	10	1	0	0
265.35800004	6.26499986700003	267.385999918	268.395999908	271.622999907	1	21	15	5	10	10	2	0	0
273.74000001	9.62099981299997	275.769000053	279.838999987	283.360999823	1	22	10	21	30	19	2	1	0
287.046999931	11.262000084	289.075000048	294.86500001	298.309000015	1	23	25	10	10	25	2	0	0
302.092000008	11.700999975	304.121999979	310.312999964	313.792999983	1	24	12	8	6	11	1	1	0
315.896999836	6.89400005299996	317.924999952	320.414999962	322.790999889	1	25	5	22	35	19	2	1	0
326.806999922	7.999000072	328.835000038	331.694999933	334.805999994	1	26	20	20	5	35	1	1	0
338.064999819	7.71900010100001	340.095000029	342.865999937	345.78399992	1	27	10	15	9.99	20	2	0	0
348.462999821	9.01700019800001	350.490999937	353.970999956	357.480000019	1	28	20	5	5	8	1	1	0
359.916999817	7.64900016800004	361.944999933	364.63499999	367.565999985	1	29	7	10	8	5	2	1	0
370.430999994	7.74899983400002	372.460000038	374.830999851	378.179999828	1	30	30	5	5	30	1	1	0
381.950999975	6.07399988200001	383.980000019	384.899999857	388.024999857	1	31	30	14.99	25	15	2	0	0
390.237999916	8.76200008400002	392.267999887	395.337999821	399	1	32	12	8	11	6	1	1	1
401.911000013	7.23000001900004	403.939999819	405.24000001	409.141000032	1	33	25	15	5	16	1	1	0
412.575999975	7.231999874	414.605000019	417.724999905	419.807999849	1	34	15	25	14.99	30	2	0	0
421.878000021	6.128999948	423.907999992	425.707999945	428.006999969	1	35	15	25	25	15	1	0	0
431.309000015	6.83500003800003	433.337999821	434.677999973	438.144000053	1	36	20	20	35	5	1	0	0
440.429999828	8.94400000600001	442.458999872	446.529999971	449.373999834	1	37	20	30	21	10	1	0	0
452.483999968	11.342000007	454.513000011	460.122999907	463.825999975	1	38	30	15	10	25	1	1	0
467.652999878	10.641000032	469.682999849	475.003000021	478.29399991	1	39	22	5	19	35	2	0	0
481.474999905	8.49200010300001	483.504999876	487.454999924	489.967000008	1	40	20	10	30	15	2	1	1
493.575999975	6.12199997900001	495.605000019	497.115999937	499.697999954	1	41	19	30	21	10	1	0	0
502.977999926	5.72000002800002	505.006000042	505.826999903	508.697999954	1	42	16	5	15	25	2	0	0
512.49000001	9.06799983899998	514.519999981	518.139999866	521.557999849	1	43	15	30	20	5	1	0	0
525.15899992	5.77999997099994	527.187999964	527.937999964	530.938999891	1	44	10	19	25	16	2	1	0
533.079999924	9.37599992699995	535.10800004	539.85800004	542.455999851	1	45	15	10	20	9.99	1	0	0
544.707000017	6.18400001499992	546.734999895	547.705999851	550.891000032	1	46	15	30	25	10	1	0	0
