onset	duration	decisionPhaseOnset	buttonPressTime	resultOnset	isTaskDeception	trial	payout_A_own	payout_A_other	payout_B_own	payout_B_other	choice	isChoiceSelfish	isCatchTrial
10.0559999943	8.8899998665	12.0849997997	15.6959998608	18.9459998608	1	1	30	15	5	20	1	1	0
21.3459999561	4.9069998265	23.375	23.7749998569	26.2529997826	1	2	14	10	15	11	2	1	1
28.6319999695	7.4629998207	30.6609997749	32.7309999466	36.0949997902	1	3	5	6	10	5.99	2	1	0
39.626999855	5.3570001126	41.6559998989	42.6259999275	44.9839999676	1	4	25	15	15	25	2	0	0
47.9079999924	8.3469998836	49.9369997978	52.246999979	56.254999876	1	5	5	11	15	10	2	1	0
58.4619998932	7.9570000172	60.4909999371	63.6209998131	66.4189999104	1	6	19	35	22	5	1	0	0
68.5679998398	7.18300008770001	70.5969998837	71.9369997978	75.7509999275	1	7	10	15	9.99	20	2	0	0
79.625	7.8339998722	81.6529998779	84.6049997807	87.4589998722	1	8	5	8	20	5	2	1	0
90.5819997787	6.5400002003	92.6109998226	94.0309998989	97.121999979	1	9	25	15	11	22	2	0	0
100.770999908	6.23399996800001	102.799999952	104.579999924	107.004999876	1	10	5	22	35	19	2	1	0
110.745999813	6.968000174	112.773999929	113.933999777	117.713999987	1	11	11	5	10	15	2	0	0
121.05099988	7.28600001300001	123.078999996	124.819999933	128.336999893	1	12	15	30	25	10	1	0	0
131.273999929	6.81200003699999	133.302999973	134.532999992	138.085999966	1	13	10	21	30	20	2	1	0
140.335999966	7.142999887	142.364999771	144.024999857	147.478999853	1	14	10	10	5	15	2	0	0
150.703999996	6.02499985700001	152.732999802	154.223999977	156.728999853	1	15	25	10	10	25	2	0	0
160.326999903	7.03299999199999	162.355999947	163.43599987	167.359999895	1	16	30	15	10	25	1	1	0
170.836999893	5.888999939	172.865999937	174.235999823	176.725999832	1	17	20	20	10	15	1	1	1
179.195999861	6.27100014700002	181.223999977	182.643999815	185.467000008	1	18	30	19	10	21	1	1	0
187.592000008	7.76899981499997	189.619999886	192.109999895	195.360999823	1	19	10	21	11	1	1	0	0
198.565999985	7.14899992900001	200.59499979	202.125	205.714999914	1	20	20	30	21	10	1	0	0
207.853999853	5.585000038	209.881999969	210.281999826	213.438999891	1	21	20	9.99	15	10	1	1	0
216.508999825	4.60800004000001	218.537999868	218.837999821	221.116999865	1	22	11	6	12	8	2	1	1
223.956999779	7.51400017700001	225.985999823	227.535999775	231.470999956	1	23	15	25	22	11	1	0	0
235.070999861	7.54399991	237.099999905	239.019999981	242.614999771	1	24	15	30	20	5	1	0	0
245.722999811	7.19400000600001	247.750999928	249.931999922	252.916999817	1	25	5.99	10	6	5	1	0	0
256.393999815	6.97900009200004	258.422999859	259.732999802	263.372999907	1	26	10	5	15	20	2	1	1
266.813999891	6.14599990900001	268.842000008	269.842000008	272.9599998	1	27	15	5	10	10	2	0	0
275.866999865	7.16300010599997	277.894999981	279.475999832	283.029999971	1	28	28	25	30	5	1	0	0
287.046999931	8.31699991299996	289.074999809	292.535999775	295.363999844	1	29	5	20	8	5	1	0	0
299.036999941	7.89199996000002	301.065999985	303.755999804	306.928999901	1	30	5	8	10	7	2	1	0
309.330999851	7.70799994499998	311.360999823	314.510999918	317.038999796	1	31	7	10	8	5	1	0	0
321.041999817	6.93799996400003	323.070999861	325.490999937	327.979999781	1	32	20	20	5	35	2	0	0
331.280999899	5.624000072	333.308999777	333.738999844	336.904999971	1	33	20	20	35	5	1	0	0
339.573999882	6.71900010100001	341.602999926	342.902999878	346.292999983	1	34	15	25	16	5	1	0	0
350.232999802	9.847000122	352.261999846	356.501999855	360.079999924	1	35	20	10	30	15	2	1	1
364.000999928	12.139999866	366.029999971	372.339999914	376.140999794	1	36	30	5	5	30	2	0	0
378.546000004	4.68999981899998	380.575999975	380.895999908	383.235999823	1	37	16	25	19	10	1	0	0
386.475999832	5.56900000600001	388.504999876	389.474999905	392.044999838	1	38	5	16	25	15	2	1	0
394.682999849	4.20700001699998	396.711999893	396.801999807	398.889999866	1	39	10	19	25	16	2	1	0
402.603999853	6.80100011799999	404.632999897	405.782999992	409.404999971	1	40	15	25	14.99	30	2	0	0
411.82799983	7.26600003300001	413.856999874	416.398000002	419.093999863	1	41	6	11	12	8	2	1	0
421.746999979	6.603999853	423.775999784	426.195999861	428.350999832	1	42	21	10	19	30	2	0	0
430.529999971	4.99000001000002	432.559999943	432.809999943	435.519999981	1	43	5	6	8	10	2	1	1
437.660999775	5.51200008400002	439.689999819	440.71999979	443.172999859	1	44	21	10	1	11	1	1	0
445.805999994	4.91499996200002	447.833999872	448.133999825	450.720999956	1	45	30	14.99	25	15	1	1	0
453.615999937	6.69599986099996	455.644999981	457.234999895	460.311999798	1	46	5	30	25	28	1	0	0
